supplier_name,facility_name,risk_type,risk_level,risk_confidence,risk_trend,timeframe,walk_free_vulnerability_score,walk_free_government_response_score,us_tip_report_tier,vulnerability_trend,government_response_trend,overall_risk_trajectory,key_risk_driver,context,monitoring_signals
Garmin International,Garmin Singapore,Modern Slavery,Low,High,Stable,Within 12 Months,24.0,47.0,Tier 1,Stable,Stable,Tier 1 – Stable,Singapore's structural migrant worker dependency creates a vulnerability ceiling; government response adequate but Prevention of Human Trafficking Act under review,"Singapore hosts approximately 1.4 million migrant workers (construction, domestic) whose structural dependency on employers creates an inherent vulnerability floor that Walk Free scores capture. Tier 1 status maintained. PHTA (Prevention of Human Trafficking Act 2014) review ongoing; no material legislative change expected within 12 months.",PHTA amendment status; Ministry of Manpower migrant worker welfare statistics; MOM foreign domestic worker complaint data; ILO Singapore assessments
Garmin International,Garmin Birtley (UK),Modern Slavery,Very Low,High,Stable,Within 12 Months,14.0,68.0,Tier 1,Stable,Stable,Tier 1 – Stable,UK Modern Slavery Act 2015 framework intact; government response score (68) among highest in dataset,"MSA 2015 annual reporting obligations for large businesses, strengthened Section 54 transparency statements, and Home Office victim support infrastructure maintain a strong baseline. Low vulnerability score (14). No legislative changes imminent that would materially alter the government response sub-scores within 12 months.",Any proposed amendments to Modern Slavery Act reporting requirements; government anti-trafficking spending; Home Office NRM referral statistics
Garmin International,Garmin Australasia,Modern Slavery,Very Low,High,Stable,Within 12 Months,7.0,67.0,Tier 1,Stable,Stable,Tier 1 – Stable,Australia Modern Slavery Act 2018 reporting framework; very low structural vulnerability (vulnerability score 7),Australia's MSA 2018 mandatory reporting for entities with >AUD 100m annual turnover provides a strong government response foundation. Vulnerability score of 7 is among the lowest in the dataset. Home Affairs anti-trafficking enforcement maintaining Tier 1 classification. Independent review of MSA (2023) recommendations being considered for implementation.,Australian Government response to 2023 MSA Review recommendations; Home Affairs anti-trafficking enforcement statistics; Attorney-General modern slavery inquiry progress
Techtronic Industries,TTI Innovation Center,Modern Slavery,Very Low,High,Stable,Within 12 Months,25.0,67.0,Tier 1,Stable,Stable,Tier 1 – Stable,Strong institutional framework; bipartisan anti-trafficking legislation intact,"Federal anti-TIP enforcement infrastructure (DOJ, DHS, State Dept TIP Office) intact despite executive branch reprioritisation. Walk Free vulnerability score (25) near structural floor. State-level supply chain due diligence laws (California, New York) provide sub-federal buffer. No credible pathway to cluster reclassification within 12 months.",Federal TIP Office budget allocations; DOJ anti-trafficking prosecution statistics; any executive orders affecting anti-slavery program funding
Techtronic Industries,Milwaukee Tool Global HQ,Modern Slavery,Very Low,High,Stable,Within 12 Months,25.0,67.0,Tier 1,Stable,Stable,Tier 1 – Stable,Strong institutional framework; bipartisan anti-trafficking legislation intact,"Federal anti-TIP enforcement infrastructure (DOJ, DHS, State Dept TIP Office) intact despite executive branch reprioritisation. Walk Free vulnerability score (25) near structural floor. State-level supply chain due diligence laws (California, New York) provide sub-federal buffer. No credible pathway to cluster reclassification within 12 months.",Federal TIP Office budget allocations; DOJ anti-trafficking prosecution statistics; any executive orders affecting anti-slavery program funding
Techtronic Industries,Milwaukee Tool Jackson Plant,Modern Slavery,Very Low,High,Stable,Within 12 Months,25.0,67.0,Tier 1,Stable,Stable,Tier 1 – Stable,Strong institutional framework; bipartisan anti-trafficking legislation intact,"Federal anti-TIP enforcement infrastructure (DOJ, DHS, State Dept TIP Office) intact despite executive branch reprioritisation. Walk Free vulnerability score (25) near structural floor. State-level supply chain due diligence laws (California, New York) provide sub-federal buffer. No credible pathway to cluster reclassification within 12 months.",Federal TIP Office budget allocations; DOJ anti-trafficking prosecution statistics; any executive orders affecting anti-slavery program funding
Techtronic Industries,Milwaukee Tool Grenada Plant,Modern Slavery,Very Low,High,Stable,Within 12 Months,25.0,67.0,Tier 1,Stable,Stable,Tier 1 – Stable,Strong institutional framework; bipartisan anti-trafficking legislation intact,"Federal anti-TIP enforcement infrastructure (DOJ, DHS, State Dept TIP Office) intact despite executive branch reprioritisation. Walk Free vulnerability score (25) near structural floor. State-level supply chain due diligence laws (California, New York) provide sub-federal buffer. No credible pathway to cluster reclassification within 12 months.",Federal TIP Office budget allocations; DOJ anti-trafficking prosecution statistics; any executive orders affecting anti-slavery program funding
Techtronic Industries,Milwaukee Tool Greenwood Plant,Modern Slavery,Very Low,High,Stable,Within 12 Months,25.0,67.0,Tier 1,Stable,Stable,Tier 1 – Stable,Strong institutional framework; bipartisan anti-trafficking legislation intact,"Federal anti-TIP enforcement infrastructure (DOJ, DHS, State Dept TIP Office) intact despite executive branch reprioritisation. Walk Free vulnerability score (25) near structural floor. State-level supply chain due diligence laws (California, New York) provide sub-federal buffer. No credible pathway to cluster reclassification within 12 months.",Federal TIP Office budget allocations; DOJ anti-trafficking prosecution statistics; any executive orders affecting anti-slavery program funding
Techtronic Industries,Milwaukee Tool Olive Branch DC,Modern Slavery,Very Low,High,Stable,Within 12 Months,25.0,67.0,Tier 1,Stable,Stable,Tier 1 – Stable,Strong institutional framework; bipartisan anti-trafficking legislation intact,"Federal anti-TIP enforcement infrastructure (DOJ, DHS, State Dept TIP Office) intact despite executive branch reprioritisation. Walk Free vulnerability score (25) near structural floor. State-level supply chain due diligence laws (California, New York) provide sub-federal buffer. No credible pathway to cluster reclassification within 12 months.",Federal TIP Office budget allocations; DOJ anti-trafficking prosecution statistics; any executive orders affecting anti-slavery program funding
Techtronic Industries,Milwaukee Tool Clinton Plant,Modern Slavery,Very Low,High,Stable,Within 12 Months,25.0,67.0,Tier 1,Stable,Stable,Tier 1 – Stable,Strong institutional framework; bipartisan anti-trafficking legislation intact,"Federal anti-TIP enforcement infrastructure (DOJ, DHS, State Dept TIP Office) intact despite executive branch reprioritisation. Walk Free vulnerability score (25) near structural floor. State-level supply chain due diligence laws (California, New York) provide sub-federal buffer. No credible pathway to cluster reclassification within 12 months.",Federal TIP Office budget allocations; DOJ anti-trafficking prosecution statistics; any executive orders affecting anti-slavery program funding
Techtronic Industries,Milwaukee Tool West Bend,Modern Slavery,Very Low,High,Stable,Within 12 Months,25.0,67.0,Tier 1,Stable,Stable,Tier 1 – Stable,Strong institutional framework; bipartisan anti-trafficking legislation intact,"Federal anti-TIP enforcement infrastructure (DOJ, DHS, State Dept TIP Office) intact despite executive branch reprioritisation. Walk Free vulnerability score (25) near structural floor. State-level supply chain due diligence laws (California, New York) provide sub-federal buffer. No credible pathway to cluster reclassification within 12 months.",Federal TIP Office budget allocations; DOJ anti-trafficking prosecution statistics; any executive orders affecting anti-slavery program funding
Techtronic Industries,Empire Level (Subsidiary),Modern Slavery,Very Low,High,Stable,Within 12 Months,25.0,67.0,Tier 1,Stable,Stable,Tier 1 – Stable,Strong institutional framework; bipartisan anti-trafficking legislation intact,"Federal anti-TIP enforcement infrastructure (DOJ, DHS, State Dept TIP Office) intact despite executive branch reprioritisation. Walk Free vulnerability score (25) near structural floor. State-level supply chain due diligence laws (California, New York) provide sub-federal buffer. No credible pathway to cluster reclassification within 12 months.",Federal TIP Office budget allocations; DOJ anti-trafficking prosecution statistics; any executive orders affecting anti-slavery program funding
Techtronic Industries,Milwaukee Tool Torreon,Modern Slavery,Medium,Moderate,Deteriorating,Within 12 Months,58.0,55.0,Tier 2,Deteriorating,Stable,Tier 2 – Stable; USMCA RRM increasing scrutiny pressure,High structural vulnerability (58); cartel-linked forced labour in manufacturing corridors; USMCA Rapid Response Mechanism adding regulatory scrutiny,"Mexico's vulnerability score (58) is the highest in the dataset. Active cartel involvement in forced labour recruitment (particularly in Jalisco, Tamaulipas, and Chihuahua manufacturing corridors — relevant to Torreon/Toluca facilities) documented by ILAB. USMCA Chapter 23 Rapid Response Mechanism has flagged labour rights concerns at Mexican manufacturing plants. Sheinbaum government maintaining social investment but rule of law indicators (criminal justice sub-scores) under continued organised crime pressure.",USMCA Rapid Response Mechanism petitions filed against Mexican facilities; STPS labour inspection data in manufacturing zones; cartel activity reports in Coahuila and State of Mexico regions
Techtronic Industries,TTI Floor Care N.A.,Modern Slavery,Very Low,High,Stable,Within 12 Months,25.0,67.0,Tier 1,Stable,Stable,Tier 1 – Stable,Strong institutional framework; bipartisan anti-trafficking legislation intact,"Federal anti-TIP enforcement infrastructure (DOJ, DHS, State Dept TIP Office) intact despite executive branch reprioritisation. Walk Free vulnerability score (25) near structural floor. State-level supply chain due diligence laws (California, New York) provide sub-federal buffer. No credible pathway to cluster reclassification within 12 months.",Federal TIP Office budget allocations; DOJ anti-trafficking prosecution statistics; any executive orders affecting anti-slavery program funding
Techtronic Industries,TTI Dongguan Hub,Modern Slavery,High,High,Deteriorating,Within 12 Months,46.0,40.0,Tier 3,Deteriorating,Deteriorating,Tier 3 – No improvement anticipated; XUAR-specific risk intensifying,State-sponsored Xinjiang labour transfer programs ongoing; Tier 3 status with zero institutional improvement mechanism; UFLPA enforcement escalating,"China's Tier 3 status reflects documented state-sponsored forced labour programs in Xinjiang (XUAR), absence of ILO Convention 29 ratification, and no independent monitoring access. Walk Free government response score (40) is at a structural low with no credible improvement pathway. US CBP UFLPA enforcement is expanding — Entity List additions continuing in 2024-25. UN OHCHR August 2022 assessment found XUAR practices may constitute crimes against humanity. For TTI Dongguan and other CHN facilities: even outside XUAR, the broader institutional environment (no independent labour unions, restricted civil society) creates structural vulnerability elevation.",UFLPA Entity List additions affecting Chinese manufacturers; CBP withhold/release orders; UN OHCHR and Special Rapporteur follow-up assessments on XUAR; any Chinese ILO Convention 29 ratification signals
Techtronic Industries,TTI Vietnam (SHTP),Modern Slavery,High,High,Stable,Within 12 Months,44.0,47.0,Tier 3,Stable,Stable,Tier 3 – Stable; no imminent tier change,"Tier 3 status driven by debt bondage in overseas labour migration, trafficking in fishing sector, and forced overtime in export manufacturing; ILO engagement present but enforcement gap wide","Vietnam's Tier 3 classification reflects persistent broker fee systems creating debt bondage for workers migrating to South Korea, Japan, Taiwan; documented forced labour in fishing vessels and export garment/electronics manufacturing. EVFTA Labour Chapter (ILO core conventions commitment) creates external reform pressure, but domestic enforcement capacity remains structurally limited by absence of independent trade unions (VGCL is state-controlled). No material government response improvement expected within 12 months.",ILO-EU EVFTA labour monitoring reports; Vietnamese migrant worker broker fee data; DLT (Department of Labour) inspection statistics; VGCL reform signals
Techtronic Industries,DreBo Werkzeugfabrik,Modern Slavery,Very Low,High,Improving,Within 12 Months,11.0,62.0,Tier 1,Stable,Improving,Tier 1 – Stable,German Supply Chain Due Diligence Act (LkSG / Lieferkettensorgfaltspflichtengesetz) operational since Jan 2023; CSDDD transposition underway,BAFA (Federal Office for Economic Affairs and Export Control) enforcement of LkSG is actively issuing guidance and conducting initial compliance reviews. Government response sub-scores expected to improve in next Walk Free data cycle as supply chain enforcement mechanisms are operationalised. Vulnerability score (11) at structural low.,BAFA LkSG enforcement actions and fines; CSDDD national transposition timeline; Walk Free 2027 Germany government response sub-score
Techtronic Industries,Ryobi Die Casting (USA),Modern Slavery,Very Low,High,Stable,Within 12 Months,25.0,67.0,Tier 1,Stable,Stable,Tier 1 – Stable,Strong institutional framework; bipartisan anti-trafficking legislation intact,"Federal anti-TIP enforcement infrastructure (DOJ, DHS, State Dept TIP Office) intact despite executive branch reprioritisation. Walk Free vulnerability score (25) near structural floor. State-level supply chain due diligence laws (California, New York) provide sub-federal buffer. No credible pathway to cluster reclassification within 12 months.",Federal TIP Office budget allocations; DOJ anti-trafficking prosecution statistics; any executive orders affecting anti-slavery program funding
"S.C. Johnson & Son, Inc.",Global Corporate HQ,Modern Slavery,Very Low,High,Stable,Within 12 Months,25.0,67.0,Tier 1,Stable,Stable,Tier 1 – Stable,Strong institutional framework; bipartisan anti-trafficking legislation intact,"Federal anti-TIP enforcement infrastructure (DOJ, DHS, State Dept TIP Office) intact despite executive branch reprioritisation. Walk Free vulnerability score (25) near structural floor. State-level supply chain due diligence laws (California, New York) provide sub-federal buffer. No credible pathway to cluster reclassification within 12 months.",Federal TIP Office budget allocations; DOJ anti-trafficking prosecution statistics; any executive orders affecting anti-slavery program funding
"S.C. Johnson & Son, Inc.",Waxdale Facility,Modern Slavery,Very Low,High,Stable,Within 12 Months,25.0,67.0,Tier 1,Stable,Stable,Tier 1 – Stable,Strong institutional framework; bipartisan anti-trafficking legislation intact,"Federal anti-TIP enforcement infrastructure (DOJ, DHS, State Dept TIP Office) intact despite executive branch reprioritisation. Walk Free vulnerability score (25) near structural floor. State-level supply chain due diligence laws (California, New York) provide sub-federal buffer. No credible pathway to cluster reclassification within 12 months.",Federal TIP Office budget allocations; DOJ anti-trafficking prosecution statistics; any executive orders affecting anti-slavery program funding
"S.C. Johnson & Son, Inc.",Ziploc Bay City Plant,Modern Slavery,Very Low,High,Stable,Within 12 Months,25.0,67.0,Tier 1,Stable,Stable,Tier 1 – Stable,Strong institutional framework; bipartisan anti-trafficking legislation intact,"Federal anti-TIP enforcement infrastructure (DOJ, DHS, State Dept TIP Office) intact despite executive branch reprioritisation. Walk Free vulnerability score (25) near structural floor. State-level supply chain due diligence laws (California, New York) provide sub-federal buffer. No credible pathway to cluster reclassification within 12 months.",Federal TIP Office budget allocations; DOJ anti-trafficking prosecution statistics; any executive orders affecting anti-slavery program funding
"S.C. Johnson & Son, Inc.",North America HQ,Modern Slavery,Very Low,High,Stable,Within 12 Months,25.0,67.0,Tier 1,Stable,Stable,Tier 1 – Stable,Strong institutional framework; bipartisan anti-trafficking legislation intact,"Federal anti-TIP enforcement infrastructure (DOJ, DHS, State Dept TIP Office) intact despite executive branch reprioritisation. Walk Free vulnerability score (25) near structural floor. State-level supply chain due diligence laws (California, New York) provide sub-federal buffer. No credible pathway to cluster reclassification within 12 months.",Federal TIP Office budget allocations; DOJ anti-trafficking prosecution statistics; any executive orders affecting anti-slavery program funding
"S.C. Johnson & Son, Inc.","Method ""Soapbox""",Modern Slavery,Very Low,High,Stable,Within 12 Months,25.0,67.0,Tier 1,Stable,Stable,Tier 1 – Stable,Strong institutional framework; bipartisan anti-trafficking legislation intact,"Federal anti-TIP enforcement infrastructure (DOJ, DHS, State Dept TIP Office) intact despite executive branch reprioritisation. Walk Free vulnerability score (25) near structural floor. State-level supply chain due diligence laws (California, New York) provide sub-federal buffer. No credible pathway to cluster reclassification within 12 months.",Federal TIP Office budget allocations; DOJ anti-trafficking prosecution statistics; any executive orders affecting anti-slavery program funding
"S.C. Johnson & Son, Inc.",SC Johnson Professional HQ,Modern Slavery,Very Low,High,Stable,Within 12 Months,25.0,67.0,Tier 1,Stable,Stable,Tier 1 – Stable,Strong institutional framework; bipartisan anti-trafficking legislation intact,"Federal anti-TIP enforcement infrastructure (DOJ, DHS, State Dept TIP Office) intact despite executive branch reprioritisation. Walk Free vulnerability score (25) near structural floor. State-level supply chain due diligence laws (California, New York) provide sub-federal buffer. No credible pathway to cluster reclassification within 12 months.",Federal TIP Office budget allocations; DOJ anti-trafficking prosecution statistics; any executive orders affecting anti-slavery program funding
"S.C. Johnson & Son, Inc.",Stanley Plant (SCJP),Modern Slavery,Very Low,High,Stable,Within 12 Months,25.0,67.0,Tier 1,Stable,Stable,Tier 1 – Stable,Strong institutional framework; bipartisan anti-trafficking legislation intact,"Federal anti-TIP enforcement infrastructure (DOJ, DHS, State Dept TIP Office) intact despite executive branch reprioritisation. Walk Free vulnerability score (25) near structural floor. State-level supply chain due diligence laws (California, New York) provide sub-federal buffer. No credible pathway to cluster reclassification within 12 months.",Federal TIP Office budget allocations; DOJ anti-trafficking prosecution statistics; any executive orders affecting anti-slavery program funding
"S.C. Johnson & Son, Inc.",SCJ Europlant,Modern Slavery,Very Low,High,Stable,Within 12 Months,6.0,67.0,Tier 1,Stable,Improving,Tier 1 – Stable,Among lowest vulnerability scores globally (6); CSDDD transposition adding further institutional strengthening,Netherlands vulnerability score of 6 is the lowest in the dataset. Tier 1 status well-established. Dutch Child Labour Due Diligence Act (Wet Zorgplicht Kinderarbeid) already in force; CSDDD EU transposition underway. No credible deterioration signal.,CSDDD Netherlands transposition progress; Dutch NRM referral statistics; no material risk signal identified
"S.C. Johnson & Son, Inc.",European Headquarters (Rolle),Modern Slavery,Very Low,High,Improving,Within 12 Months,14.0,50.0,Tier 2,Stable,Improving,Tier 2 – Improving toward Tier 1; Swiss SDG Act strengthening government response,"Swiss Supply Chain Due Diligence and Transparency Act (Sorgfaltspflicht und Transparenzgesetz, effective Jan 2022) improving government response sub-score; domestic trafficking enforcement improving","Switzerland's Tier 2 classification is driven primarily by limitations in domestic trafficking prosecution capacity and domestic worker/sex work trafficking concerns, not by high structural vulnerability (score 14). The Swiss SDG Act requires supply chain due diligence for conflict minerals and child labour for large Swiss companies, improving the 'government and business stop sourcing forced labour products' sub-score. Government response trajectory is improving; Tier 1 movement plausible within 2-3 years.",Swiss SDG Act compliance data; FEDPOL (Federal Police) anti-trafficking prosecution statistics; 2025 TIP Report tier status for Switzerland
"S.C. Johnson & Son, Inc.",Gorzów Manufacturing,Modern Slavery,Very Low,High,Stable,Within 12 Months,19.0,55.0,Tier 2,Stable,Stable,Tier 2 – Stable; EU membership floor prevents deterioration,EU membership structural floor; active Polish Border Guard anti-trafficking operations; Ukrainian refugee population creates transit risk that government is actively managing,"Poland's Tier 2 status is primarily driven by limited trafficking prosecution rates and gaps in victim support infrastructure rather than high structural vulnerability (19). The large Ukrainian refugee population (est. 1-1.5 million in Poland) creates some transit trafficking risk, but Polish authorities have been proactive in addressing this. EU Anti-Trafficking Directive transposition will strengthen the institutional framework.",Polish Border Guard anti-trafficking statistics; Ukrainian refugee trafficking referral data; EU Anti-Trafficking Directive national transposition progress
"S.C. Johnson & Son, Inc.",Rosslyn Factory,Modern Slavery,High,High,Deteriorating,Within 12 Months,52.0,53.0,Tier 2 Watchlist,Deteriorating,Deteriorating,Tier 2 WL – Automatic Tier 3 downgrade risk under TVPA consecutive-year rules; Secretary of State waiver required to prevent,Third consecutive Tier 2 Watchlist year triggers automatic Tier 3 downgrade under TVPA rules unless Secretary of State issues one-time waiver; government capacity deteriorating structurally,"South Africa has been on the Tier 2 Watchlist since at least 2023. Under TVPA provisions, a country that remains on the Watchlist for 3 consecutive years is automatically downgraded to Tier 3 unless the Secretary of State certifies a credible written plan. South Africa's government response capacity is under severe structural pressure: 33%+ unemployment, ANC governance deterioration, corruption undermining criminal justice mechanisms (Walk Free criminal justice sub-score), and energy crisis reducing monitoring infrastructure. If downgraded to Tier 3 within 12 months, cluster migration from 2 (High) toward 0 (Very High) becomes a realistic medium-term scenario.",2025 TIP Report tier decision for South Africa; Secretary of State TVPA waiver status; SAPS (South African Police Service) anti-trafficking budget and prosecution statistics; Walk Free vulnerability sub-scores for inequality and governance
"S.C. Johnson & Son, Inc.",Shanghai Johnson Ltd,Modern Slavery,High,High,Deteriorating,Within 12 Months,46.0,40.0,Tier 3,Deteriorating,Deteriorating,Tier 3 – No improvement anticipated; XUAR-specific risk intensifying,State-sponsored Xinjiang labour transfer programs ongoing; Tier 3 status with zero institutional improvement mechanism; UFLPA enforcement escalating,"China's Tier 3 status reflects documented state-sponsored forced labour programs in Xinjiang (XUAR), absence of ILO Convention 29 ratification, and no independent monitoring access. Walk Free government response score (40) is at a structural low with no credible improvement pathway. US CBP UFLPA enforcement is expanding — Entity List additions continuing in 2024-25. UN OHCHR August 2022 assessment found XUAR practices may constitute crimes against humanity. For TTI Dongguan and other CHN facilities: even outside XUAR, the broader institutional environment (no independent labour unions, restricted civil society) creates structural vulnerability elevation.",UFLPA Entity List additions affecting Chinese manufacturers; CBP withhold/release orders; UN OHCHR and Special Rapporteur follow-up assessments on XUAR; any Chinese ILO Convention 29 ratification signals
"S.C. Johnson & Son, Inc.",SC Johnson Vietnam,Modern Slavery,High,High,Stable,Within 12 Months,44.0,47.0,Tier 3,Stable,Stable,Tier 3 – Stable; no imminent tier change,"Tier 3 status driven by debt bondage in overseas labour migration, trafficking in fishing sector, and forced overtime in export manufacturing; ILO engagement present but enforcement gap wide","Vietnam's Tier 3 classification reflects persistent broker fee systems creating debt bondage for workers migrating to South Korea, Japan, Taiwan; documented forced labour in fishing vessels and export garment/electronics manufacturing. EVFTA Labour Chapter (ILO core conventions commitment) creates external reform pressure, but domestic enforcement capacity remains structurally limited by absence of independent trade unions (VGCL is state-controlled). No material government response improvement expected within 12 months.",ILO-EU EVFTA labour monitoring reports; Vietnamese migrant worker broker fee data; DLT (Department of Labour) inspection statistics; VGCL reform signals
"S.C. Johnson & Son, Inc.",LATAM Regional HQ,Modern Slavery,Low,Moderate,Highly Variable,Within 12 Months,36.0,58.0,Tier 1,Deteriorating,Stable,Tier 1 – Maintained for now; vulnerability score upward pressure,"Milei government's radical economic restructuring (peso devaluation, austerity, removal of social protections) creating acute short-term vulnerability pressure on Walk Free sub-scores","Argentina's Tier 1 status and cluster 1 (Low) classification are currently stable. However, the Milei administration's shock therapy economic programme is creating conditions that Walk Free's vulnerability framework captures: 'lack of basic needs' (poverty rate rose from ~40% to ~55% by mid-2024), 'inequality' (social protection dismantlement), and 'disenfranchised groups' (informal economy expansion). The current TIP data predates the full Milei impact; the next Walk Free assessment cycle (data captured 2025-26) may reflect material vulnerability score deterioration. Government response score (58) and Tier 1 status are unlikely to change within 12 months absent a specific trafficking enforcement failure.",Argentine poverty and inequality statistics (INDEC); ILO Argentina country assessments; Walk Free 2027 Argentina vulnerability sub-scores; UNICEF Argentina social protection coverage data
