supplier_name,facility_name,risk_type,risk_level,risk_confidence,risk_trend,timeframe,context,annual_drought_probabiltiy
Garmin International,Garmin Singapore,Drought,Negligible,High,High,Within 12 Months,Administrative or non-industrial facility with negligible operational water demand. Regional drought conditions do not materially affect operations at this site over a 12-month horizon. SPEI-3 data: baseline mean (1990-2020) = -0.29; drought frequency (SPEI-3 < -1.0) = 26.9%; recent mean (2015-2025) = -0.232; trend delta = +0.058.,26.9%
Garmin International,Garmin Birtley (UK),Drought,Low,High,High,Within 12 Months,Drought climatology is persistent over short horizons. Baseline drought frequency remains the best near-term estimate; seasonal variability applies. SPEI-3 data: baseline mean (1990-2020) = 0.209; drought frequency (SPEI-3 < -1.0) = 14.8%; recent mean (2015-2025) = 0.634; trend delta = +0.425.,14.8%
Garmin International,Garmin Australasia,Drought,Negligible,High,High,Within 12 Months,Administrative or non-industrial facility with negligible operational water demand. Regional drought conditions do not materially affect operations at this site over a 12-month horizon. SPEI-3 data: baseline mean (1990-2020) = -0.219; drought frequency (SPEI-3 < -1.0) = 19.9%; recent mean (2015-2025) = 0.075; trend delta = +0.294.,19.9%
Techtronic Industries,TTI Innovation Center,Drought,Low,High,High,Within 12 Months,Drought climatology is persistent over short horizons. Baseline drought frequency remains the best near-term estimate; seasonal variability applies. SPEI-3 data: baseline mean (1990-2020) = 0.034; drought frequency (SPEI-3 < -1.0) = 15.6%; recent mean (2015-2025) = 0.325; trend delta = +0.291.,15.6%
Techtronic Industries,Milwaukee Tool Global HQ,Drought,Negligible,High,High,Within 12 Months,Administrative or non-industrial facility with negligible operational water demand. Regional drought conditions do not materially affect operations at this site over a 12-month horizon. SPEI-3 data: baseline mean (1990-2020) = 0.18; drought frequency (SPEI-3 < -1.0) = 12.1%; recent mean (2015-2025) = 0.301; trend delta = +0.121.,12.1%
Techtronic Industries,Milwaukee Tool Jackson Plant,Drought,Low,High,High,Within 12 Months,Drought climatology is persistent over short horizons. Baseline drought frequency remains the best near-term estimate; seasonal variability applies. SPEI-3 data: baseline mean (1990-2020) = 0.176; drought frequency (SPEI-3 < -1.0) = 12.9%; recent mean (2015-2025) = 0.283; trend delta = +0.107.,12.9%
Techtronic Industries,Milwaukee Tool Grenada Plant,Drought,Low,High,High,Within 12 Months,Drought climatology is persistent over short horizons. Baseline drought frequency remains the best near-term estimate; seasonal variability applies. SPEI-3 data: baseline mean (1990-2020) = 0.127; drought frequency (SPEI-3 < -1.0) = 12.9%; recent mean (2015-2025) = 0.174; trend delta = +0.047.,12.9%
Techtronic Industries,Milwaukee Tool Greenwood Plant,Drought,Low,High,High,Within 12 Months,Drought climatology is persistent over short horizons. Baseline drought frequency remains the best near-term estimate; seasonal variability applies. SPEI-3 data: baseline mean (1990-2020) = 0.093; drought frequency (SPEI-3 < -1.0) = 14.0%; recent mean (2015-2025) = 0.204; trend delta = +0.111.,14.0%
Techtronic Industries,Milwaukee Tool Olive Branch DC,Drought,Very Low,High,High,Within 12 Months,Drought climatology is persistent over short horizons. Very low baseline drought frequency is expected to remain stable within this horizon. SPEI-3 data: baseline mean (1990-2020) = 0.119; drought frequency (SPEI-3 < -1.0) = 11.3%; recent mean (2015-2025) = 0.099; trend delta = -0.020.,11.3%
Techtronic Industries,Milwaukee Tool Clinton Plant,Drought,Low,High,High,Within 12 Months,Drought climatology is persistent over short horizons. Baseline drought frequency remains the best near-term estimate; seasonal variability applies. SPEI-3 data: baseline mean (1990-2020) = 0.176; drought frequency (SPEI-3 < -1.0) = 12.9%; recent mean (2015-2025) = 0.283; trend delta = +0.107.,12.9%
Techtronic Industries,Milwaukee Tool West Bend,Drought,Low,High,High,Within 12 Months,Drought climatology is persistent over short horizons. Baseline drought frequency remains the best near-term estimate; seasonal variability applies. SPEI-3 data: baseline mean (1990-2020) = 0.18; drought frequency (SPEI-3 < -1.0) = 12.1%; recent mean (2015-2025) = 0.301; trend delta = +0.121.,12.1%
Techtronic Industries,Empire Level (Subsidiary),Drought,Low,High,High,Within 12 Months,Drought climatology is persistent over short horizons. Baseline drought frequency remains the best near-term estimate; seasonal variability applies. SPEI-3 data: baseline mean (1990-2020) = 0.107; drought frequency (SPEI-3 < -1.0) = 13.7%; recent mean (2015-2025) = -0.085; trend delta = -0.192.,13.7%
Techtronic Industries,Milwaukee Tool Torreon,Drought,Very High,High,High,Within 12 Months,Drought climatology is persistent over short horizons. Baseline drought frequency (30.9% of months) remains the best near-term estimate; seasonal variability applies. SPEI-3 data: baseline mean (1990-2020) = -0.246; drought frequency (SPEI-3 < -1.0) = 30.9%; recent mean (2015-2025) = -0.312; trend delta = -0.066.,30.9%
Techtronic Industries,TTI Floor Care N.A.,Drought,Negligible,High,High,Within 12 Months,Administrative or non-industrial facility with negligible operational water demand. Regional drought conditions do not materially affect operations at this site over a 12-month horizon. SPEI-3 data: baseline mean (1990-2020) = 0.028; drought frequency (SPEI-3 < -1.0) = 15.3%; recent mean (2015-2025) = 0.288; trend delta = +0.260.,15.3%
Techtronic Industries,TTI Dongguan Hub,Drought,Medium,High,High,Within 12 Months,Drought climatology is persistent over short horizons. Baseline drought frequency (20.2% of months) remains the best near-term estimate; seasonal variability applies. SPEI-3 data: baseline mean (1990-2020) = -0.063; drought frequency (SPEI-3 < -1.0) = 20.2%; recent mean (2015-2025) = 0.018; trend delta = +0.081.,20.2%
Techtronic Industries,TTI Vietnam (SHTP),Drought,Very High,High,High,Within 12 Months,Drought climatology is persistent over short horizons. Baseline drought frequency (30.6% of months) remains the best near-term estimate; seasonal variability applies. SPEI-3 data: baseline mean (1990-2020) = -0.309; drought frequency (SPEI-3 < -1.0) = 30.6%; recent mean (2015-2025) = -0.192; trend delta = +0.117.,30.6%
Techtronic Industries,DreBo Werkzeugfabrik,Drought,High,High,High,Within 12 Months,Drought climatology is persistent over short horizons. Baseline drought frequency (27.4% of months) remains the best near-term estimate; seasonal variability applies. SPEI-3 data: baseline mean (1990-2020) = -0.329; drought frequency (SPEI-3 < -1.0) = 27.4%; recent mean (2015-2025) = -0.606; trend delta = -0.277.,27.4%
Techtronic Industries,Ryobi Die Casting (USA),Drought,Low,High,High,Within 12 Months,Drought climatology is persistent over short horizons. Baseline drought frequency remains the best near-term estimate; seasonal variability applies. SPEI-3 data: baseline mean (1990-2020) = 0.241; drought frequency (SPEI-3 < -1.0) = 12.1%; recent mean (2015-2025) = 0.357; trend delta = +0.116.,12.1%
S.C. Johnson & Son Inc.,Global Corporate HQ,Drought,Negligible,High,High,Within 12 Months,Administrative or non-industrial facility with negligible operational water demand. Regional drought conditions do not materially affect operations at this site over a 12-month horizon. SPEI-3 data: baseline mean (1990-2020) = 0.069; drought frequency (SPEI-3 < -1.0) = 14.0%; recent mean (2015-2025) = -0.241; trend delta = -0.310.,14.0%
S.C. Johnson & Son Inc.,Waxdale Facility,Drought,Low,High,High,Within 12 Months,Drought climatology is persistent over short horizons. Baseline drought frequency remains the best near-term estimate; seasonal variability applies. SPEI-3 data: baseline mean (1990-2020) = 0.069; drought frequency (SPEI-3 < -1.0) = 14.0%; recent mean (2015-2025) = -0.241; trend delta = -0.310.,14.0%
S.C. Johnson & Son Inc.,Ziploc Bay City Plant,Drought,Low,High,High,Within 12 Months,Drought climatology is persistent over short horizons. Baseline drought frequency remains the best near-term estimate; seasonal variability applies. SPEI-3 data: baseline mean (1990-2020) = 0.164; drought frequency (SPEI-3 < -1.0) = 12.9%; recent mean (2015-2025) = 0.09; trend delta = -0.074.,12.9%
S.C. Johnson & Son Inc.,North America HQ,Drought,Negligible,High,High,Within 12 Months,Administrative or non-industrial facility with negligible operational water demand. Regional drought conditions do not materially affect operations at this site over a 12-month horizon. SPEI-3 data: baseline mean (1990-2020) = -0.081; drought frequency (SPEI-3 < -1.0) = 18.0%; recent mean (2015-2025) = -0.587; trend delta = -0.506.,18.0%
S.C. Johnson & Son Inc.,Method Soapbox,Drought,Medium,High,High,Within 12 Months,Drought climatology is persistent over short horizons. Baseline drought frequency (18.0% of months) remains the best near-term estimate; seasonal variability applies. SPEI-3 data: baseline mean (1990-2020) = -0.081; drought frequency (SPEI-3 < -1.0) = 18.0%; recent mean (2015-2025) = -0.587; trend delta = -0.506.,18.0%
S.C. Johnson & Son Inc.,SC Johnson Professional HQ,Drought,Negligible,High,High,Within 12 Months,Administrative or non-industrial facility with negligible operational water demand. Regional drought conditions do not materially affect operations at this site over a 12-month horizon. SPEI-3 data: baseline mean (1990-2020) = 0.028; drought frequency (SPEI-3 < -1.0) = 15.3%; recent mean (2015-2025) = 0.288; trend delta = +0.260.,15.3%
S.C. Johnson & Son Inc.,Stanley Plant (SCJP),Drought,Low,High,High,Within 12 Months,Drought climatology is persistent over short horizons. Baseline drought frequency remains the best near-term estimate; seasonal variability applies. SPEI-3 data: baseline mean (1990-2020) = 0.053; drought frequency (SPEI-3 < -1.0) = 15.6%; recent mean (2015-2025) = 0.359; trend delta = +0.306.,15.6%
S.C. Johnson & Son Inc.,SCJ Europlant,Drought,Medium,High,High,Within 12 Months,Drought climatology is persistent over short horizons. Baseline drought frequency (19.9% of months) remains the best near-term estimate; seasonal variability applies. SPEI-3 data: baseline mean (1990-2020) = -0.039; drought frequency (SPEI-3 < -1.0) = 19.9%; recent mean (2015-2025) = -0.253; trend delta = -0.214.,19.9%
S.C. Johnson & Son Inc.,European Headquarters (Rolle),Drought,Negligible,High,High,Within 12 Months,Administrative or non-industrial facility with negligible operational water demand. Regional drought conditions do not materially affect operations at this site over a 12-month horizon. SPEI-3 data: baseline mean (1990-2020) = -0.276; drought frequency (SPEI-3 < -1.0) = 25.5%; recent mean (2015-2025) = -0.656; trend delta = -0.380.,25.5%
S.C. Johnson & Son Inc.,Gorzów Manufacturing,Drought,Medium,High,High,Within 12 Months,Drought climatology is persistent over short horizons. Baseline drought frequency (19.1% of months) remains the best near-term estimate; seasonal variability applies. SPEI-3 data: baseline mean (1990-2020) = -0.074; drought frequency (SPEI-3 < -1.0) = 19.1%; recent mean (2015-2025) = -0.355; trend delta = -0.281.,19.1%
S.C. Johnson & Son Inc.,Rosslyn Factory,Drought,High,High,High,Within 12 Months,Drought climatology is persistent over short horizons. Baseline drought frequency (27.7% of months) remains the best near-term estimate; seasonal variability applies. SPEI-3 data: baseline mean (1990-2020) = -0.301; drought frequency (SPEI-3 < -1.0) = 27.7%; recent mean (2015-2025) = -0.762; trend delta = -0.461.,27.7%
S.C. Johnson & Son Inc.,Shanghai Johnson Ltd,Drought,Low,High,High,Within 12 Months,Drought climatology is persistent over short horizons. Baseline drought frequency remains the best near-term estimate; seasonal variability applies. SPEI-3 data: baseline mean (1990-2020) = 0.157; drought frequency (SPEI-3 < -1.0) = 14.2%; recent mean (2015-2025) = 0.88; trend delta = +0.723.,14.2%
S.C. Johnson & Son Inc.,SC Johnson Vietnam,Drought,Very High,High,High,Within 12 Months,Drought climatology is persistent over short horizons. Baseline drought frequency (30.6% of months) remains the best near-term estimate; seasonal variability applies. SPEI-3 data: baseline mean (1990-2020) = -0.309; drought frequency (SPEI-3 < -1.0) = 30.6%; recent mean (2015-2025) = -0.192; trend delta = +0.117.,30.6%
S.C. Johnson & Son Inc.,LATAM Regional HQ,Drought,Negligible,High,High,Within 12 Months,Administrative or non-industrial facility with negligible operational water demand. Regional drought conditions do not materially affect operations at this site over a 12-month horizon. SPEI-3 data: baseline mean (1990-2020) = 0.116; drought frequency (SPEI-3 < -1.0) = 16.9%; recent mean (2015-2025) = -0.11; trend delta = -0.226.,16.9%
S.C. Johnson & Son Inc.,Pilar Manufacturing,Drought,Medium,High,High,Within 12 Months,Drought climatology is persistent over short horizons. Baseline drought frequency (16.9% of months) remains the best near-term estimate; seasonal variability applies. SPEI-3 data: baseline mean (1990-2020) = 0.116; drought frequency (SPEI-3 < -1.0) = 16.9%; recent mean (2015-2025) = -0.11; trend delta = -0.226.,16.9%
S.C. Johnson & Son Inc.,Toluca Plant,Drought,Very Low,High,High,Within 12 Months,Drought climatology is persistent over short horizons. Very low baseline drought frequency is expected to remain stable within this horizon. SPEI-3 data: baseline mean (1990-2020) = 0.249; drought frequency (SPEI-3 < -1.0) = 10.5%; recent mean (2015-2025) = 0.185; trend delta = -0.064.,10.5%
GOJO Industries Inc.,Global Headquarters,Drought,Negligible,High,High,Within 12 Months,Administrative or non-industrial facility with negligible operational water demand. Regional drought conditions do not materially affect operations at this site over a 12-month horizon. SPEI-3 data: baseline mean (1990-2020) = 0.196; drought frequency (SPEI-3 < -1.0) = 13.4%; recent mean (2015-2025) = 0.143; trend delta = -0.053.,13.4%
GOJO Industries Inc.,Lippman Campus (Stow),Drought,Low,High,High,Within 12 Months,Drought climatology is persistent over short horizons. Baseline drought frequency remains the best near-term estimate; seasonal variability applies. SPEI-3 data: baseline mean (1990-2020) = 0.196; drought frequency (SPEI-3 < -1.0) = 13.4%; recent mean (2015-2025) = 0.143; trend delta = -0.053.,13.4%
GOJO Industries Inc.,Cuyahoga Falls Plant,Drought,Low,High,High,Within 12 Months,Drought climatology is persistent over short horizons. Baseline drought frequency remains the best near-term estimate; seasonal variability applies. SPEI-3 data: baseline mean (1990-2020) = 0.196; drought frequency (SPEI-3 < -1.0) = 13.4%; recent mean (2015-2025) = 0.143; trend delta = -0.053.,13.4%
GOJO Industries Inc.,Wooster Facility,Drought,Very Low,High,High,Within 12 Months,Drought climatology is persistent over short horizons. Very low baseline drought frequency is expected to remain stable within this horizon. SPEI-3 data: baseline mean (1990-2020) = 0.26; drought frequency (SPEI-3 < -1.0) = 9.1%; recent mean (2015-2025) = 0.35; trend delta = +0.090.,9.1%
GOJO Industries Inc.,Maple Heights Plant,Drought,Low,High,High,Within 12 Months,Drought climatology is persistent over short horizons. Baseline drought frequency remains the best near-term estimate; seasonal variability applies. SPEI-3 data: baseline mean (1990-2020) = 0.196; drought frequency (SPEI-3 < -1.0) = 13.4%; recent mean (2015-2025) = 0.143; trend delta = -0.053.,13.4%
GOJO Industries Inc.,Ashland Dist. Center,Drought,Very Low,High,High,Within 12 Months,Drought climatology is persistent over short horizons. Very low baseline drought frequency is expected to remain stable within this horizon. SPEI-3 data: baseline mean (1990-2020) = 0.23; drought frequency (SPEI-3 < -1.0) = 10.2%; recent mean (2015-2025) = 0.29; trend delta = +0.060.,10.2%
GOJO Industries Inc.,Navarre Warehouse,Drought,Very Low,High,High,Within 12 Months,Drought climatology is persistent over short horizons. Very low baseline drought frequency is expected to remain stable within this horizon. SPEI-3 data: baseline mean (1990-2020) = 0.26; drought frequency (SPEI-3 < -1.0) = 9.1%; recent mean (2015-2025) = 0.35; trend delta = +0.090.,9.1%
GOJO Industries Inc.,GOJO Europe (UK HQ),Drought,Negligible,High,High,Within 12 Months,Administrative or non-industrial facility with negligible operational water demand. Regional drought conditions do not materially affect operations at this site over a 12-month horizon. SPEI-3 data: baseline mean (1990-2020) = -0.021; drought frequency (SPEI-3 < -1.0) = 18.3%; recent mean (2015-2025) = 0.105; trend delta = +0.126.,18.3%
GOJO Industries Inc.,GOJO France SARL,Drought,Negligible,High,High,Within 12 Months,Administrative or non-industrial facility with negligible operational water demand. Regional drought conditions do not materially affect operations at this site over a 12-month horizon. SPEI-3 data: baseline mean (1990-2020) = -0.069; drought frequency (SPEI-3 < -1.0) = 20.4%; recent mean (2015-2025) = -0.51; trend delta = -0.441.,20.4%
GOJO Industries Inc.,GOJO Australasia,Drought,Negligible,High,High,Within 12 Months,Administrative or non-industrial facility with negligible operational water demand. Regional drought conditions do not materially affect operations at this site over a 12-month horizon. SPEI-3 data: baseline mean (1990-2020) = -0.199; drought frequency (SPEI-3 < -1.0) = 21.2%; recent mean (2015-2025) = 0.049; trend delta = +0.248.,21.2%
GOJO Industries Inc.,GOJO Japan Inc.,Drought,Negligible,High,High,Within 12 Months,Administrative or non-industrial facility with negligible operational water demand. Regional drought conditions do not materially affect operations at this site over a 12-month horizon. SPEI-3 data: baseline mean (1990-2020) = 0.113; drought frequency (SPEI-3 < -1.0) = 18.8%; recent mean (2015-2025) = 0.414; trend delta = +0.301.,18.8%
GOJO Industries Inc.,GOJO América Latina,Drought,Negligible,High,High,Within 12 Months,Administrative or non-industrial facility with negligible operational water demand. Regional drought conditions do not materially affect operations at this site over a 12-month horizon. SPEI-3 data: baseline mean (1990-2020) = -0.235; drought frequency (SPEI-3 < -1.0) = 26.6%; recent mean (2015-2025) = -0.959; trend delta = -0.724.,26.6%
GOJO Industries Inc.,GOJO Canada Inc.,Drought,Negligible,High,High,Within 12 Months,Administrative or non-industrial facility with negligible operational water demand. Regional drought conditions do not materially affect operations at this site over a 12-month horizon. SPEI-3 data: baseline mean (1990-2020) = 0.04; drought frequency (SPEI-3 < -1.0) = 16.4%; recent mean (2015-2025) = -0.001; trend delta = -0.041.,16.4%
Hangzhou Greatstar Industrial.Co.,Global Headquarters,Drought,Negligible,High,High,Within 12 Months,Administrative or non-industrial facility with negligible operational water demand. Regional drought conditions do not materially affect operations at this site over a 12-month horizon. SPEI-3 data: baseline mean (1990-2020) = 0.116; drought frequency (SPEI-3 < -1.0) = 19.4%; recent mean (2015-2025) = 0.934; trend delta = +0.818.,19.4%
Hangzhou Greatstar Industrial.Co.,GreatStar Industrial USA,Drought,Negligible,High,High,Within 12 Months,Administrative or non-industrial facility with negligible operational water demand. Regional drought conditions do not materially affect operations at this site over a 12-month horizon. SPEI-3 data: baseline mean (1990-2020) = 0.028; drought frequency (SPEI-3 < -1.0) = 15.3%; recent mean (2015-2025) = 0.288; trend delta = +0.260.,15.3%
Hangzhou Greatstar Industrial.Co.,Arrow Fastener Co. HQ,Drought,Low,High,High,Within 12 Months,Drought climatology is persistent over short horizons. Baseline drought frequency remains the best near-term estimate; seasonal variability applies. SPEI-3 data: baseline mean (1990-2020) = 0.055; drought frequency (SPEI-3 < -1.0) = 15.3%; recent mean (2015-2025) = -0.053; trend delta = -0.108.,15.3%
Hangzhou Greatstar Industrial.Co.,Shop-Vac / SK Tools USA,Drought,Low,High,High,Within 12 Months,Drought climatology is persistent over short horizons. Baseline drought frequency remains the best near-term estimate; seasonal variability applies. SPEI-3 data: baseline mean (1990-2020) = 0.113; drought frequency (SPEI-3 < -1.0) = 13.7%; recent mean (2015-2025) = 0.159; trend delta = +0.046.,13.7%
Hangzhou Greatstar Industrial.Co.,Prime-Line Products,Drought,High,High,High,Within 12 Months,Drought climatology is persistent over short horizons. Baseline drought frequency (23.7% of months) remains the best near-term estimate; seasonal variability applies. SPEI-3 data: baseline mean (1990-2020) = -0.246; drought frequency (SPEI-3 < -1.0) = 23.7%; recent mean (2015-2025) = -0.324; trend delta = -0.078.,23.7%
Hangzhou Greatstar Industrial.Co.,LISTA AG (Switzerland),Drought,High,High,High,Within 12 Months,Drought climatology is persistent over short horizons. Baseline drought frequency (27.4% of months) remains the best near-term estimate; seasonal variability applies. SPEI-3 data: baseline mean (1990-2020) = -0.329; drought frequency (SPEI-3 < -1.0) = 27.4%; recent mean (2015-2025) = -0.606; trend delta = -0.277.,27.4%
Hangzhou Greatstar Industrial.Co.,BeA GmbH (Germany),Drought,Medium,High,High,Within 12 Months,Drought climatology is persistent over short horizons. Baseline drought frequency (21.0% of months) remains the best near-term estimate; seasonal variability applies. SPEI-3 data: baseline mean (1990-2020) = -0.059; drought frequency (SPEI-3 < -1.0) = 21.0%; recent mean (2015-2025) = -0.249; trend delta = -0.190.,21.0%
Hangzhou Greatstar Industrial.Co.,Zhongshan Geelong Mfg,Drought,Medium,High,High,Within 12 Months,Drought climatology is persistent over short horizons. Baseline drought frequency (20.2% of months) remains the best near-term estimate; seasonal variability applies. SPEI-3 data: baseline mean (1990-2020) = -0.063; drought frequency (SPEI-3 < -1.0) = 20.2%; recent mean (2015-2025) = 0.018; trend delta = +0.081.,20.2%
Hangzhou Greatstar Industrial.Co.,GreatStar Vietnam Base,Drought,Medium,High,High,Within 12 Months,Drought climatology is persistent over short horizons. Baseline drought frequency (19.9% of months) remains the best near-term estimate; seasonal variability applies. SPEI-3 data: baseline mean (1990-2020) = -0.126; drought frequency (SPEI-3 < -1.0) = 19.9%; recent mean (2015-2025) = -0.05; trend delta = +0.076.,19.9%
Hangzhou Greatstar Industrial.Co.,GreatStar Thailand Base,Drought,Very High,High,High,Within 12 Months,Drought climatology is persistent over short horizons. Baseline drought frequency (34.1% of months) remains the best near-term estimate; seasonal variability applies. SPEI-3 data: baseline mean (1990-2020) = -0.532; drought frequency (SPEI-3 < -1.0) = 34.1%; recent mean (2015-2025) = -0.726; trend delta = -0.194.,34.1%
Hangzhou Greatstar Industrial.Co.,Haining GreatStar Hub,Drought,Medium,High,High,Within 12 Months,Drought climatology is persistent over short horizons. Baseline drought frequency (19.4% of months) remains the best near-term estimate; seasonal variability applies. SPEI-3 data: baseline mean (1990-2020) = 0.116; drought frequency (SPEI-3 < -1.0) = 19.4%; recent mean (2015-2025) = 0.934; trend delta = +0.818.,19.4%
Hangzhou Greatstar Industrial.Co.,Goldblatt / GreatStar R&D,Drought,Negligible,High,High,Within 12 Months,Administrative or non-industrial facility with negligible operational water demand. Regional drought conditions do not materially affect operations at this site over a 12-month horizon. SPEI-3 data: baseline mean (1990-2020) = 0.186; drought frequency (SPEI-3 < -1.0) = 12.9%; recent mean (2015-2025) = 0.23; trend delta = +0.044.,12.9%
Hangzhou Greatstar Industrial.Co.,GreatStar Changzhou Base,Drought,Low,High,High,Within 12 Months,Drought climatology is persistent over short horizons. Baseline drought frequency remains the best near-term estimate; seasonal variability applies. SPEI-3 data: baseline mean (1990-2020) = 0.174; drought frequency (SPEI-3 < -1.0) = 15.3%; recent mean (2015-2025) = 1.027; trend delta = +0.853.,15.3%
Hangzhou Greatstar Industrial.Co.,Xiaoshan Logistics Base,Drought,Medium,High,High,Within 12 Months,Drought climatology is persistent over short horizons. Baseline drought frequency (19.4% of months) remains the best near-term estimate; seasonal variability applies. SPEI-3 data: baseline mean (1990-2020) = 0.116; drought frequency (SPEI-3 < -1.0) = 19.4%; recent mean (2015-2025) = 0.934; trend delta = +0.818.,19.4%
Perrigo Company,Global Headquarters,Drought,Negligible,High,High,Within 12 Months,Administrative or non-industrial facility with negligible operational water demand. Regional drought conditions do not materially affect operations at this site over a 12-month horizon. SPEI-3 data: baseline mean (1990-2020) = 0.008; drought frequency (SPEI-3 < -1.0) = 14.8%; recent mean (2015-2025) = 0.093; trend delta = +0.085.,14.8%
Perrigo Company,N. American Corporate HQ,Drought,Negligible,High,High,Within 12 Months,Administrative or non-industrial facility with negligible operational water demand. Regional drought conditions do not materially affect operations at this site over a 12-month horizon. SPEI-3 data: baseline mean (1990-2020) = 0.234; drought frequency (SPEI-3 < -1.0) = 11.6%; recent mean (2015-2025) = 0.245; trend delta = +0.011.,11.6%
Perrigo Company,Allegan Main Campus,Drought,Very Low,High,High,Within 12 Months,Drought climatology is persistent over short horizons. Very low baseline drought frequency is expected to remain stable within this horizon. SPEI-3 data: baseline mean (1990-2020) = 0.234; drought frequency (SPEI-3 < -1.0) = 11.6%; recent mean (2015-2025) = 0.245; trend delta = +0.011.,11.6%
Perrigo Company,Allegan Water St Plant,Drought,Very Low,High,High,Within 12 Months,Drought climatology is persistent over short horizons. Very low baseline drought frequency is expected to remain stable within this horizon. SPEI-3 data: baseline mean (1990-2020) = 0.234; drought frequency (SPEI-3 < -1.0) = 11.6%; recent mean (2015-2025) = 0.245; trend delta = +0.011.,11.6%
Perrigo Company,Eau Claire Facility,Drought,Very Low,High,High,Within 12 Months,Drought climatology is persistent over short horizons. Very low baseline drought frequency is expected to remain stable within this horizon. SPEI-3 data: baseline mean (1990-2020) = 0.304; drought frequency (SPEI-3 < -1.0) = 10.5%; recent mean (2015-2025) = 0.459; trend delta = +0.155.,10.5%
Perrigo Company,PBM Nutritionals (Vermont),Drought,Low,High,High,Within 12 Months,Drought climatology is persistent over short horizons. Baseline drought frequency remains the best near-term estimate; seasonal variability applies. SPEI-3 data: baseline mean (1990-2020) = 0.225; drought frequency (SPEI-3 < -1.0) = 12.1%; recent mean (2015-2025) = 0.324; trend delta = +0.099.,12.1%
