supplier_name,facility_name,risk_type,risk_level,risk_confidence,risk_trend,timeframe,context
"GOJO Industries, Inc.",Navarre Warehouse,Humidex Heat Stress,Medium,High,Stable,Within 5 Years,All SSP scenarios consistently project Medium risk (66 days/year ≥ HX40).
"GOJO Industries, Inc.",GOJO Europe (UK HQ),Humidex Heat Stress,Very Low,High,Stable,Within 5 Years,All SSP scenarios consistently project Very Low risk (2 days/year ≥ HX40).
"GOJO Industries, Inc.",GOJO France SARL,Humidex Heat Stress,Very Low,High,Stable,Within 5 Years,All SSP scenarios consistently project Very Low risk (10 days/year ≥ HX40).
"GOJO Industries, Inc.",GOJO Australasia,Humidex Heat Stress,Medium,High,Deteriorating,Within 5 Years,All SSP scenarios consistently project Medium risk (54 days/year ≥ HX40). Projected increase in heat stress days relative to historical baseline.
"GOJO Industries, Inc.","GOJO Japan, Inc.",Humidex Heat Stress,High,Medium,Deteriorating,Within 5 Years,"SSP scenarios project 96 days/year ≥ HX40 under the central scenario, ranging from Medium to High risk across emissions pathways. Projected increase in heat stress days relative to historical baseline."
"GOJO Industries, Inc.",GOJO América Latina,Humidex Heat Stress,Very High,High,Stable,Within 5 Years,All SSP scenarios consistently project Very High risk (205 days/year ≥ HX40).
"GOJO Industries, Inc.",GOJO Canada Inc.,Humidex Heat Stress,Low,High,Stable,Within 5 Years,All SSP scenarios consistently project Low risk (35 days/year ≥ HX40).
Hangzhou Greatstar Industrial.Co.,Global Headquarters,Humidex Heat Stress,High,High,Stable,Within 5 Years,All SSP scenarios consistently project High risk (136 days/year ≥ HX40).
Hangzhou Greatstar Industrial.Co.,GreatStar Industrial USA,Humidex Heat Stress,High,High,Stable,Within 5 Years,All SSP scenarios consistently project High risk (141 days/year ≥ HX40).
Hangzhou Greatstar Industrial.Co.,Arrow Fastener Co. HQ,Humidex Heat Stress,Medium,High,Stable,Within 5 Years,All SSP scenarios consistently project Medium risk (85 days/year ≥ HX40).
Hangzhou Greatstar Industrial.Co.,Shop-Vac / SK Tools USA,Humidex Heat Stress,Medium,High,Deteriorating,Within 5 Years,All SSP scenarios consistently project Medium risk (56 days/year ≥ HX40). Projected increase in heat stress days relative to historical baseline.
Hangzhou Greatstar Industrial.Co.,Prime-Line Products,Humidex Heat Stress,Very Low,Medium,Stable,Within 5 Years,"SSP scenarios project 12 days/year ≥ HX40 under the central scenario, ranging from Very Low to Low risk across emissions pathways."
Hangzhou Greatstar Industrial.Co.,LISTA AG (Switzerland),Humidex Heat Stress,Low,High,Deteriorating,Within 5 Years,All SSP scenarios consistently project Low risk (24 days/year ≥ HX40). Projected increase in heat stress days relative to historical baseline.
Hangzhou Greatstar Industrial.Co.,BeA GmbH (Germany),Humidex Heat Stress,Very Low,High,Stable,Within 5 Years,All SSP scenarios consistently project Very Low risk (9 days/year ≥ HX40).
Hangzhou Greatstar Industrial.Co.,Zhongshan Geelong Mfg,Humidex Heat Stress,Very High,High,Stable,Within 5 Years,All SSP scenarios consistently project Very High risk (196 days/year ≥ HX40).
Hangzhou Greatstar Industrial.Co.,GreatStar Vietnam Base,Humidex Heat Stress,Very High,High,Stable,Within 5 Years,All SSP scenarios consistently project Very High risk (219 days/year ≥ HX40).
Hangzhou Greatstar Industrial.Co.,GreatStar Thailand Base,Humidex Heat Stress,Critical,High,Stable,Within 5 Years,All SSP scenarios consistently project Critical risk (354 days/year ≥ HX40).
Hangzhou Greatstar Industrial.Co.,Haining GreatStar Hub,Humidex Heat Stress,High,High,Stable,Within 5 Years,All SSP scenarios consistently project High risk (136 days/year ≥ HX40).
Hangzhou Greatstar Industrial.Co.,Goldblatt / GreatStar R&D,Humidex Heat Stress,High,High,Deteriorating,Within 5 Years,All SSP scenarios consistently project High risk (100 days/year ≥ HX40). Projected increase in heat stress days relative to historical baseline.
Hangzhou Greatstar Industrial.Co.,GreatStar Changzhou Base,Humidex Heat Stress,High,High,Stable,Within 5 Years,All SSP scenarios consistently project High risk (127 days/year ≥ HX40).
Hangzhou Greatstar Industrial.Co.,Xiaoshan Logistics Base,Humidex Heat Stress,High,High,Stable,Within 5 Years,All SSP scenarios consistently project High risk (136 days/year ≥ HX40).
Perrigo Company,Global Headquarters,Humidex Heat Stress,Very Low,Medium,Deteriorating,Within 5 Years,"SSP scenarios project 0 days/year ≥ HX40 under the central scenario, ranging from Negligible to Very Low risk across emissions pathways. Projected increase in heat stress days relative to historical baseline."
Perrigo Company,N. American Corporate HQ,Humidex Heat Stress,Medium,High,Deteriorating,Within 5 Years,All SSP scenarios consistently project Medium risk (54 days/year ≥ HX40). Projected increase in heat stress days relative to historical baseline.
Perrigo Company,Allegan Main Campus,Humidex Heat Stress,Medium,High,Deteriorating,Within 5 Years,All SSP scenarios consistently project Medium risk (57 days/year ≥ HX40). Projected increase in heat stress days relative to historical baseline.
Perrigo Company,Allegan Water St Plant,Humidex Heat Stress,Medium,High,Deteriorating,Within 5 Years,All SSP scenarios consistently project Medium risk (57 days/year ≥ HX40). Projected increase in heat stress days relative to historical baseline.
Perrigo Company,Eau Claire Facility,Humidex Heat Stress,Medium,High,Deteriorating,Within 5 Years,All SSP scenarios consistently project Medium risk (60 days/year ≥ HX40). Projected increase in heat stress days relative to historical baseline.
Perrigo Company,PBM Nutritionals (Vermont),Humidex Heat Stress,Medium,Medium,Deteriorating,Within 5 Years,"SSP scenarios project 49 days/year ≥ HX40 under the central scenario, ranging from Low to Medium risk across emissions pathways. Projected increase in heat stress days relative to historical baseline."
Perrigo Company,Perrigo Direct Hub,Humidex Heat Stress,Very High,High,Deteriorating,Within 5 Years,All SSP scenarios consistently project Very High risk (154 days/year ≥ HX40). Projected increase in heat stress days relative to historical baseline.
Perrigo Company,Omaha Logistics Center,Humidex Heat Stress,Medium,Medium,Stable,Within 5 Years,"SSP scenarios project 89 days/year ≥ HX40 under the central scenario, ranging from Medium to High risk across emissions pathways."
Perrigo Company,Perrigo Israel (Yeruham),Humidex Heat Stress,High,High,Stable,Within 5 Years,All SSP scenarios consistently project High risk (149 days/year ≥ HX40).
Perrigo Company,Perrigo Mexico,Humidex Heat Stress,High,High,Stable,Within 5 Years,All SSP scenarios consistently project High risk (145 days/year ≥ HX40).
Perrigo Company,Wrafton Laboratories (UK),Humidex Heat Stress,Negligible,Medium,Stable,Within 5 Years,SSP scenario projections indicate negligible humidex heat stress risk over the 5-year horizon. Trend: Stable. Regional warming trends may modestly increase the frequency of high-humidex days.
Perrigo Company,Galpharm International,Humidex Heat Stress,Very Low,Medium,Deteriorating,Within 5 Years,"SSP scenarios project 0 days/year ≥ HX40 under the central scenario, ranging from Negligible to Very Low risk across emissions pathways. Projected increase in heat stress days relative to historical baseline."
Perrigo Company,Rosemont Pharmaceuticals,Humidex Heat Stress,Very Low,Medium,Deteriorating,Within 5 Years,"SSP scenarios project 0 days/year ≥ HX40 under the central scenario, ranging from Negligible to Very Low risk across emissions pathways. Projected increase in heat stress days relative to historical baseline."
Perrigo Company,HRA Pharma Global HQ,Humidex Heat Stress,Low,High,Deteriorating,Within 5 Years,All SSP scenarios consistently project Low risk (28 days/year ≥ HX40). Projected increase in heat stress days relative to historical baseline.
Perrigo Company,HRA Pharma US,Humidex Heat Stress,Medium,High,Stable,Within 5 Years,All SSP scenarios consistently project Medium risk (82 days/year ≥ HX40).
The Hain Celestial Group,Global Headquarters,Humidex Heat Stress,Medium,High,Stable,Within 5 Years,All SSP scenarios consistently project Medium risk (86 days/year ≥ HX40).
The Hain Celestial Group,Celestial Seasonings,Humidex Heat Stress,Low,High,Stable,Within 5 Years,All SSP scenarios consistently project Low risk (35 days/year ≥ HX40).
The Hain Celestial Group,Hain Personal Care Hub,Humidex Heat Stress,Very Low,Medium,Stable,Within 5 Years,"SSP scenarios project 10 days/year ≥ HX40 under the central scenario, ranging from Very Low to Low risk across emissions pathways."
The Hain Celestial Group,Hain Celestial Canada HQ,Humidex Heat Stress,Low,High,Stable,Within 5 Years,All SSP scenarios consistently project Low risk (40 days/year ≥ HX40).
The Hain Celestial Group,Mississauga Facility,Humidex Heat Stress,Low,High,Stable,Within 5 Years,All SSP scenarios consistently project Low risk (40 days/year ≥ HX40).
The Hain Celestial Group,Hain Daniels (Fakenham),Humidex Heat Stress,Negligible,Medium,Stable,Within 5 Years,SSP scenario projections indicate negligible humidex heat stress risk over the 5-year horizon. Trend: Stable. Regional warming trends may modestly increase the frequency of high-humidex days.
The Hain Celestial Group,Hain Daniels (Histon),Humidex Heat Stress,Very Low,High,Stable,Within 5 Years,All SSP scenarios consistently project Very Low risk (3 days/year ≥ HX40).
The Hain Celestial Group,Fresh Innovation Centre,Humidex Heat Stress,Very Low,High,Stable,Within 5 Years,All SSP scenarios consistently project Very Low risk (2 days/year ≥ HX40).
The Hain Celestial Group,Ella’s Kitchen HQ,Humidex Heat Stress,Very Low,High,Stable,Within 5 Years,All SSP scenarios consistently project Very Low risk (1 days/year ≥ HX40).
The Hain Celestial Group,Natumi GmbH,Humidex Heat Stress,Low,High,Deteriorating,Within 5 Years,All SSP scenarios consistently project Low risk (24 days/year ≥ HX40). Projected increase in heat stress days relative to historical baseline.
The Hain Celestial Group,Mona Naturprodukte (Joya),Humidex Heat Stress,Low,High,Deteriorating,Within 5 Years,All SSP scenarios consistently project Low risk (32 days/year ≥ HX40). Projected increase in heat stress days relative to historical baseline.
The Hain Celestial Group,Cully & Sully,Humidex Heat Stress,Negligible,Medium,Stable,Within 5 Years,SSP scenario projections indicate negligible humidex heat stress risk over the 5-year horizon. Trend: Stable. Regional warming trends may modestly increase the frequency of high-humidex days.
The Hain Celestial Group,Yorkshire Provender,Humidex Heat Stress,Very Low,Medium,Deteriorating,Within 5 Years,"SSP scenarios project 0 days/year ≥ HX40 under the central scenario, ranging from Negligible to Very Low risk across emissions pathways. Projected increase in heat stress days relative to historical baseline."
ZURU LLC.,ZURU Global HQ,Humidex Heat Stress,Very High,High,Stable,Within 5 Years,All SSP scenarios consistently project Very High risk (196 days/year ≥ HX40).
ZURU LLC.,ZURU US Flagship Campus,Humidex Heat Stress,Very Low,High,Stable,Within 5 Years,All SSP scenarios consistently project Very Low risk (2 days/year ≥ HX40).
ZURU LLC.,ZURU Shenzhen Hub,Humidex Heat Stress,Very High,High,Stable,Within 5 Years,All SSP scenarios consistently project Very High risk (201 days/year ≥ HX40).
ZURU LLC.,ZURU Huizhou Smart Factory,Humidex Heat Stress,Very High,High,Stable,Within 5 Years,All SSP scenarios consistently project Very High risk (208 days/year ≥ HX40).
ZURU LLC.,ZURU Guangzhou Plant,Humidex Heat Stress,Very High,High,Stable,Within 5 Years,All SSP scenarios consistently project Very High risk (202 days/year ≥ HX40).
ZURU LLC.,ZURU New Zealand HQ,Humidex Heat Stress,Negligible,Medium,Stable,Within 5 Years,SSP scenario projections indicate negligible humidex heat stress risk over the 5-year horizon. Trend: Stable. Regional warming trends may modestly increase the frequency of high-humidex days.
ZURU LLC.,ZURU Tech Italy (Modena),Humidex Heat Stress,Medium,High,Deteriorating,Within 5 Years,All SSP scenarios consistently project Medium risk (77 days/year ≥ HX40). Projected increase in heat stress days relative to historical baseline.
ZURU LLC.,ZURU Tech India (Ahmedabad),Humidex Heat Stress,Very High,High,Stable,Within 5 Years,All SSP scenarios consistently project Very High risk (240 days/year ≥ HX40).
ZURU LLC.,ZURU Tech India (Kolkata),Humidex Heat Stress,Critical,High,Stable,Within 5 Years,All SSP scenarios consistently project Critical risk (262 days/year ≥ HX40).
ZURU LLC.,ZURU Bentonville Office,Humidex Heat Stress,High,High,Stable,Within 5 Years,All SSP scenarios consistently project High risk (112 days/year ≥ HX40).
ZURU LLC.,ZURU Tech Italy (Milan),Humidex Heat Stress,Medium,High,Deteriorating,Within 5 Years,All SSP scenarios consistently project Medium risk (77 days/year ≥ HX40). Projected increase in heat stress days relative to historical baseline.
ZURU LLC.,ZURU Dongguan Tech Center,Humidex Heat Stress,Very High,High,Stable,Within 5 Years,All SSP scenarios consistently project Very High risk (204 days/year ≥ HX40).
John Paul Mitchell Systems,Global Headquarters,Humidex Heat Stress,Very Low,High,Stable,Within 5 Years,All SSP scenarios consistently project Very Low risk (1 days/year ≥ HX40).
John Paul Mitchell Systems,JPMS Creative Center,Humidex Heat Stress,Very Low,High,Stable,Within 5 Years,All SSP scenarios consistently project Very Low risk (4 days/year ≥ HX40).
John Paul Mitchell Systems,Santa Clarita DC,Humidex Heat Stress,Very Low,High,Stable,Within 5 Years,All SSP scenarios consistently project Very Low risk (1 days/year ≥ HX40).
John Paul Mitchell Systems,The Awapuhi Farm,Humidex Heat Stress,Negligible,Medium,Stable,Within 5 Years,SSP scenario projections indicate negligible humidex heat stress risk over the 5-year horizon. Trend: Stable. Regional warming trends may modestly increase the frequency of high-humidex days.
John Paul Mitchell Systems,JPMS UK (Salon Success),Humidex Heat Stress,Very Low,High,Stable,Within 5 Years,All SSP scenarios consistently project Very Low risk (2 days/year ≥ HX40).
John Paul Mitchell Systems,JPMS European Hub,Humidex Heat Stress,Very Low,High,Stable,Within 5 Years,All SSP scenarios consistently project Very Low risk (7 days/year ≥ HX40).
John Paul Mitchell Systems,Pro-motive (Subsidiary),Humidex Heat Stress,Very Low,High,Stable,Within 5 Years,All SSP scenarios consistently project Very Low risk (1 days/year ≥ HX40).
John Paul Mitchell Systems,Distribution Center East,Humidex Heat Stress,High,High,Stable,Within 5 Years,All SSP scenarios consistently project High risk (108 days/year ≥ HX40).
"Natural Organics, Inc.",Global Headquarters,Humidex Heat Stress,Medium,High,Stable,Within 5 Years,All SSP scenarios consistently project Medium risk (71 days/year ≥ HX40).
"Natural Organics, Inc.",Melville Manufacturing,Humidex Heat Stress,Medium,High,Stable,Within 5 Years,All SSP scenarios consistently project Medium risk (71 days/year ≥ HX40).
"Natural Organics, Inc.","The ""Pharma-Lab""",Humidex Heat Stress,Medium,High,Stable,Within 5 Years,All SSP scenarios consistently project Medium risk (71 days/year ≥ HX40).
"Natural Organics, Inc.",Melville Distribution,Humidex Heat Stress,Medium,High,Stable,Within 5 Years,All SSP scenarios consistently project Medium risk (71 days/year ≥ HX40).
"Natural Organics, Inc.",Amityville Facility,Humidex Heat Stress,Medium,High,Stable,Within 5 Years,All SSP scenarios consistently project Medium risk (72 days/year ≥ HX40).
"Natural Organics, Inc.",Nature’s Plus UK,Humidex Heat Stress,Very Low,High,Stable,Within 5 Years,All SSP scenarios consistently project Very Low risk (3 days/year ≥ HX40).
"Natural Organics, Inc.",Euro-Nutrition Hub,Humidex Heat Stress,Very Low,High,Stable,Within 5 Years,All SSP scenarios consistently project Very Low risk (2 days/year ≥ HX40).
