supplier_name,facility_name,risk_type,risk_level,risk_confidence,risk_trend,timeframe,impact_type,risk_description,primary_restriction_instrument,secondary_restriction_instrument,importing_jurisdiction,source_country_or_region,enforcement_status,context,monitoring_signals
"S.C. Johnson & Son, Inc.",Shanghai Johnson Ltd,Restricted Goods - Forced Labor,Regulatory obligation from December 2027,Moderate,Deteriorating,Within 5 Years,Compliance,EU Forced Labour Regulation (applicable Dec 2027) will prohibit EU market access for any goods containing caustic soda produced with forced labour from China. No size-of-company exemption applies. Market withdrawal and destruction orders are the enforcement mechanism. All EU-destined supply chains sourcing caustic soda from China require verified forced-labour-free traceability by December 2027.,EU Forced Labour Regulation (EU) 2024/3015 — Applicable December 2027,EU Official Journal — Regulation (EU) 2024/3015; European Commission Guidance,EU,China,New_Regulatory_Framework,"EU Forced Labour Regulation (Regulation (EU) 2024/3015) was published November 2024 and will apply from December 2027. It prohibits placing on the EU market any goods produced with forced labour, regardless of origin. Unlike CSDDD, it applies to ALL goods and ALL companies (no size threshold). Competent national authorities will investigate and order market withdrawal and destruction of non-compliant goods. This is the most significant new social risk regulatory framework for EU-destined supply chains within the 5-year horizon.","Monitor EU Commission implementing regulations (product and country prioritisation lists expected 2025-2026); national competent authority designation; EU Forced Labour Single Entry Point portal; industry guidance from ETOA, amfori, ecovadis on compliance programme design"
Hangzhou Greatstar Industrial.Co.,Zhongshan Geelong Mfg,Restricted Goods - Forced Labor,Regulatory obligation from December 2027,Moderate,Deteriorating,Within 5 Years,Compliance,EU Forced Labour Regulation (applicable Dec 2027) will prohibit EU market access for any goods containing aluminum produced with forced labour from China. No size-of-company exemption applies. Market withdrawal and destruction orders are the enforcement mechanism. All EU-destined supply chains sourcing aluminum from China require verified forced-labour-free traceability by December 2027.,EU Forced Labour Regulation (EU) 2024/3015 — Applicable December 2027,EU Official Journal — Regulation (EU) 2024/3015; European Commission Guidance,EU,China,New_Regulatory_Framework,"EU Forced Labour Regulation (Regulation (EU) 2024/3015) was published November 2024 and will apply from December 2027. It prohibits placing on the EU market any goods produced with forced labour, regardless of origin. Unlike CSDDD, it applies to ALL goods and ALL companies (no size threshold). Competent national authorities will investigate and order market withdrawal and destruction of non-compliant goods. This is the most significant new social risk regulatory framework for EU-destined supply chains within the 5-year horizon.","Monitor EU Commission implementing regulations (product and country prioritisation lists expected 2025-2026); national competent authority designation; EU Forced Labour Single Entry Point portal; industry guidance from ETOA, amfori, ecovadis on compliance programme design"
Hangzhou Greatstar Industrial.Co.,Zhongshan Geelong Mfg,Restricted Goods - Forced Labor,Regulatory obligation from December 2027,High,Deteriorating,Within 5 Years,Compliance,EU Forced Labour Regulation (applicable Dec 2027) will prohibit EU market access for any goods containing cotton produced with forced labour from China. No size-of-company exemption applies. Market withdrawal and destruction orders are the enforcement mechanism. All EU-destined supply chains sourcing cotton from China require verified forced-labour-free traceability by December 2027.,EU Forced Labour Regulation (EU) 2024/3015 — Applicable December 2027,EU Official Journal — Regulation (EU) 2024/3015; European Commission Guidance,EU,China,New_Regulatory_Framework,"EU Forced Labour Regulation (Regulation (EU) 2024/3015) was published November 2024 and will apply from December 2027. It prohibits placing on the EU market any goods produced with forced labour, regardless of origin. Unlike CSDDD, it applies to ALL goods and ALL companies (no size threshold). Competent national authorities will investigate and order market withdrawal and destruction of non-compliant goods. This is the most significant new social risk regulatory framework for EU-destined supply chains within the 5-year horizon.","Monitor EU Commission implementing regulations (product and country prioritisation lists expected 2025-2026); national competent authority designation; EU Forced Labour Single Entry Point portal; industry guidance from ETOA, amfori, ecovadis on compliance programme design"
Techtronic Industries,TTI Vietnam (SHTP),Restricted Goods - Forced Labor,Regulatory obligation from December 2027,Moderate,Deteriorating,Within 5 Years,Compliance,EU Forced Labour Regulation will apply to Vietnamese-origin rubber from December 2027. EU CSDDD due diligence obligations for Vietnam-sourced inputs are coming into force concurrently. Labour conditions in Vietnam's plantation and processing sectors require verified compliance documentation.,EU Forced Labour Regulation (EU) 2024/3015 — Vietnam Sourcing Risk,EU Official Journal — Regulation (EU) 2024/3015; ILO Better Work Vietnam,EU,Vietnam,New_Regulatory_Framework,"Vietnam's growing role as a China+1 manufacturing hub means an increasing share of EU-bound goods originate from Vietnam. EU Forced Labour Regulation applies to Vietnamese goods from Dec 2027. CSDDD will require due diligence on Vietnamese manufacturing labour conditions. ILO Better Work Vietnam programme documents ongoing issues in textiles, electronics assembly, and seafood sectors.",Monitor ILO Better Work Vietnam reports; EU Forced Labour Regulation country risk assessments (expected from EU Commission 2025-2026); US State Dept Vietnam TIP Report; ILAB Vietnam TVPRA status
Techtronic Industries,TTI Vietnam (SHTP),Restricted Goods - Forced Labor,Regulatory obligation from December 2027,Moderate,Deteriorating,Within 5 Years,Compliance,EU Forced Labour Regulation will apply to Vietnamese-origin timber from December 2027. EU CSDDD due diligence obligations for Vietnam-sourced inputs are coming into force concurrently. Labour conditions in Vietnam's plantation and processing sectors require verified compliance documentation.,EU Forced Labour Regulation (EU) 2024/3015 — Vietnam Sourcing Risk,EU Official Journal — Regulation (EU) 2024/3015; ILO Better Work Vietnam,EU,Vietnam,New_Regulatory_Framework,"Vietnam's growing role as a China+1 manufacturing hub means an increasing share of EU-bound goods originate from Vietnam. EU Forced Labour Regulation applies to Vietnamese goods from Dec 2027. CSDDD will require due diligence on Vietnamese manufacturing labour conditions. ILO Better Work Vietnam programme documents ongoing issues in textiles, electronics assembly, and seafood sectors.",Monitor ILO Better Work Vietnam reports; EU Forced Labour Regulation country risk assessments (expected from EU Commission 2025-2026); US State Dept Vietnam TIP Report; ILAB Vietnam TVPRA status
Hangzhou Greatstar Industrial.Co.,GreatStar Vietnam Base,Restricted Goods - Forced Labor,Regulatory obligation from December 2027,Moderate,Deteriorating,Within 5 Years,Compliance,EU Forced Labour Regulation will apply to Vietnamese-origin rubber from December 2027. EU CSDDD due diligence obligations for Vietnam-sourced inputs are coming into force concurrently. Labour conditions in Vietnam's plantation and processing sectors require verified compliance documentation.,EU Forced Labour Regulation (EU) 2024/3015 — Vietnam Sourcing Risk,EU Official Journal — Regulation (EU) 2024/3015; ILO Better Work Vietnam,EU,Vietnam,New_Regulatory_Framework,"Vietnam's growing role as a China+1 manufacturing hub means an increasing share of EU-bound goods originate from Vietnam. EU Forced Labour Regulation applies to Vietnamese goods from Dec 2027. CSDDD will require due diligence on Vietnamese manufacturing labour conditions. ILO Better Work Vietnam programme documents ongoing issues in textiles, electronics assembly, and seafood sectors.",Monitor ILO Better Work Vietnam reports; EU Forced Labour Regulation country risk assessments (expected from EU Commission 2025-2026); US State Dept Vietnam TIP Report; ILAB Vietnam TVPRA status
Hangzhou Greatstar Industrial.Co.,GreatStar Vietnam Base,Restricted Goods - Forced Labor,Regulatory obligation from December 2027,Moderate,Deteriorating,Within 5 Years,Compliance,EU Forced Labour Regulation will apply to Vietnamese-origin timber from December 2027. EU CSDDD due diligence obligations for Vietnam-sourced inputs are coming into force concurrently. Labour conditions in Vietnam's plantation and processing sectors require verified compliance documentation.,EU Forced Labour Regulation (EU) 2024/3015 — Vietnam Sourcing Risk,EU Official Journal — Regulation (EU) 2024/3015; ILO Better Work Vietnam,EU,Vietnam,New_Regulatory_Framework,"Vietnam's growing role as a China+1 manufacturing hub means an increasing share of EU-bound goods originate from Vietnam. EU Forced Labour Regulation applies to Vietnamese goods from Dec 2027. CSDDD will require due diligence on Vietnamese manufacturing labour conditions. ILO Better Work Vietnam programme documents ongoing issues in textiles, electronics assembly, and seafood sectors.",Monitor ILO Better Work Vietnam reports; EU Forced Labour Regulation country risk assessments (expected from EU Commission 2025-2026); US State Dept Vietnam TIP Report; ILAB Vietnam TVPRA status
"S.C. Johnson & Son, Inc.",SC Johnson Vietnam,Restricted Goods - Forced Labor,Regulatory obligation from December 2027,Low,Deteriorating,Within 5 Years,Compliance,EU Forced Labour Regulation will apply to Vietnamese-origin sugarcane from December 2027. EU CSDDD due diligence obligations for Vietnam-sourced inputs are coming into force concurrently. Labour conditions in Vietnam's plantation and processing sectors require verified compliance documentation.,EU Forced Labour Regulation (EU) 2024/3015 — Vietnam Sourcing Risk,EU Official Journal — Regulation (EU) 2024/3015; ILO Better Work Vietnam,EU,Vietnam,New_Regulatory_Framework,"Vietnam's growing role as a China+1 manufacturing hub means an increasing share of EU-bound goods originate from Vietnam. EU Forced Labour Regulation applies to Vietnamese goods from Dec 2027. CSDDD will require due diligence on Vietnamese manufacturing labour conditions. ILO Better Work Vietnam programme documents ongoing issues in textiles, electronics assembly, and seafood sectors.",Monitor ILO Better Work Vietnam reports; EU Forced Labour Regulation country risk assessments (expected from EU Commission 2025-2026); US State Dept Vietnam TIP Report; ILAB Vietnam TVPRA status
ZURU LLC.,ZURU Huizhou Smart Factory,Restricted Goods - Forced Labor,Possible within 5 years — India sourcing share increasing,Low,Deteriorating,Within 5 Years,Compliance,India's growing electronics manufacturing exports are bringing ILAB and EU CSDDD scrutiny to Indian electronics assembly labour conditions. Supply chains diversifying from China to India may encounter new social risk exposure within the 5-year horizon as Indian electronics output scales and ILAB attention grows.,ILAB TVPRA Monitoring — India Electronics Sector; EU CSDDD,ILAB India Country Reports; ILO India Electronics Sector; EU CSDDD India Exposure Assessment,USA,India,New_Source_Region_Risk,"India's electronics manufacturing sector is growing rapidly under the Production-Linked Incentive (PLI) scheme, with smartphone and component output increasing 40%+ year-on-year 2022-2025. As India becomes a major electronics exporter (particularly to USA and EU), ILAB and EU CSDDD scrutiny will increase. ZURU and Garmin supply chains may increasingly have Indian electronics component inputs over the 5-year horizon. ILO reports document contract labour, excessive overtime, and gender discrimination in Indian electronics assembly.",Monitor ILO India electronics sector reports; ILAB India country report annual updates; EU Commission India partnership framework labour provisions; India SECC electronics worker welfare data; Know The Chain benchmark scores
ZURU LLC.,ZURU Huizhou Smart Factory,Restricted Goods - Forced Labor,Possible within 5 years — India sourcing share increasing,Low,Deteriorating,Within 5 Years,Compliance,India's growing electronics manufacturing exports are bringing ILAB and EU CSDDD scrutiny to Indian electronics assembly labour conditions. Supply chains diversifying from China to India may encounter new social risk exposure within the 5-year horizon as Indian electronics output scales and ILAB attention grows.,ILAB TVPRA Monitoring — India Electronics Sector; EU CSDDD,ILAB India Country Reports; ILO India Electronics Sector; EU CSDDD India Exposure Assessment,EU,India,New_Source_Region_Risk,"India's electronics manufacturing sector is growing rapidly under the Production-Linked Incentive (PLI) scheme, with smartphone and component output increasing 40%+ year-on-year 2022-2025. As India becomes a major electronics exporter (particularly to USA and EU), ILAB and EU CSDDD scrutiny will increase. ZURU and Garmin supply chains may increasingly have Indian electronics component inputs over the 5-year horizon. ILO reports document contract labour, excessive overtime, and gender discrimination in Indian electronics assembly.",Monitor ILO India electronics sector reports; ILAB India country report annual updates; EU Commission India partnership framework labour provisions; India SECC electronics worker welfare data; Know The Chain benchmark scores
Hangzhou Greatstar Industrial.Co.,GreatStar Changzhou Base,Restricted Goods - Forced Labor,Possible within 5 years — India sourcing share increasing,Low,Deteriorating,Within 5 Years,Compliance,India's growing electronics manufacturing exports are bringing ILAB and EU CSDDD scrutiny to Indian electronics assembly labour conditions. Supply chains diversifying from China to India may encounter new social risk exposure within the 5-year horizon as Indian electronics output scales and ILAB attention grows.,ILAB TVPRA Monitoring — India Electronics Sector; EU CSDDD,ILAB India Country Reports; ILO India Electronics Sector; EU CSDDD India Exposure Assessment,USA,India,New_Source_Region_Risk,"India's electronics manufacturing sector is growing rapidly under the Production-Linked Incentive (PLI) scheme, with smartphone and component output increasing 40%+ year-on-year 2022-2025. As India becomes a major electronics exporter (particularly to USA and EU), ILAB and EU CSDDD scrutiny will increase. ZURU and Garmin supply chains may increasingly have Indian electronics component inputs over the 5-year horizon. ILO reports document contract labour, excessive overtime, and gender discrimination in Indian electronics assembly.",Monitor ILO India electronics sector reports; ILAB India country report annual updates; EU Commission India partnership framework labour provisions; India SECC electronics worker welfare data; Know The Chain benchmark scores
Garmin International,Lin Kou Plant (Taiwan),Restricted Goods - Forced Labor,Possible within 5 years — India sourcing share increasing,Low,Deteriorating,Within 5 Years,Compliance,India's growing electronics manufacturing exports are bringing ILAB and EU CSDDD scrutiny to Indian electronics assembly labour conditions. Supply chains diversifying from China to India may encounter new social risk exposure within the 5-year horizon as Indian electronics output scales and ILAB attention grows.,ILAB TVPRA Monitoring — India Electronics Sector; EU CSDDD,ILAB India Country Reports; ILO India Electronics Sector; EU CSDDD India Exposure Assessment,USA,India,New_Source_Region_Risk,"India's electronics manufacturing sector is growing rapidly under the Production-Linked Incentive (PLI) scheme, with smartphone and component output increasing 40%+ year-on-year 2022-2025. As India becomes a major electronics exporter (particularly to USA and EU), ILAB and EU CSDDD scrutiny will increase. ZURU and Garmin supply chains may increasingly have Indian electronics component inputs over the 5-year horizon. ILO reports document contract labour, excessive overtime, and gender discrimination in Indian electronics assembly.",Monitor ILO India electronics sector reports; ILAB India country report annual updates; EU Commission India partnership framework labour provisions; India SECC electronics worker welfare data; Know The Chain benchmark scores
ZURU LLC.,ZURU Huizhou Smart Factory,Restricted Goods - Child Labor,Regulatory obligation from 2027,Moderate,Deteriorating,Within 5 Years,Compliance,EU CSDDD and EU Forced Labour Regulation (Dec 2027) will require due diligence on cotton supply chains from India. ILAB documents child and forced labour in Indian cotton farming and textile production. Supply chains with Indian cotton inputs will require verified compliance documentation for EU market access from 2027.,EU Forced Labour Regulation (EU) 2024/3015; EU CSDDD; ILAB TVPRA Monitoring,ILAB 2024 TVPRA List; ILO India Cotton Sector; EU CSDDD; EU FL Regulation (EU) 2024/3015,EU,India,New_Source_Region_Risk,"India is one of the world's largest cotton and garment producers. EU CSDDD will require supply chain due diligence for Indian cotton and garment supply chains by 2027-2028. ILAB and ILO document child labour in cotton farming (especially hybrid cottonseed) and forced overtime in garment factories. The EU Forced Labour Regulation will apply from Dec 2027, creating a significant compliance burden for supply chains with Indian cotton inputs.",Monitor EU CSDDD transposition for textile sector; ILAB India cotton and garment sector reports; Fair Labor Association India audit data; EU Forced Labour Regulation country risk list for India
ZURU LLC.,ZURU Guangzhou Plant,Restricted Goods - Child Labor,Regulatory obligation from 2027,Moderate,Deteriorating,Within 5 Years,Compliance,EU CSDDD and EU Forced Labour Regulation (Dec 2027) will require due diligence on textiles (all) supply chains from India. ILAB documents child and forced labour in Indian cotton farming and textile production. Supply chains with Indian textiles (all) inputs will require verified compliance documentation for EU market access from 2027.,EU Forced Labour Regulation (EU) 2024/3015; EU CSDDD; ILAB TVPRA Monitoring,ILAB 2024 TVPRA List; ILO India Cotton Sector; EU CSDDD; EU FL Regulation (EU) 2024/3015,EU,India,New_Source_Region_Risk,"India is one of the world's largest cotton and garment producers. EU CSDDD will require supply chain due diligence for Indian cotton and garment supply chains by 2027-2028. ILAB and ILO document child labour in cotton farming (especially hybrid cottonseed) and forced overtime in garment factories. The EU Forced Labour Regulation will apply from Dec 2027, creating a significant compliance burden for supply chains with Indian cotton inputs.",Monitor EU CSDDD transposition for textile sector; ILAB India cotton and garment sector reports; Fair Labor Association India audit data; EU Forced Labour Regulation country risk list for India
