supplier_name,facility_name,risk_type,risk_level,timeframe,context
Hangzhou Greatstar Industrial.Co.,GreatStar Thailand Base,Humidex Heat Stress,Critical,Baseline,Historical mean of 353 days/year with humidex ≥ 40 (occupational heat stress threshold). Facilities in this zone should ensure adequate cooling and hydration provisions for outdoor and non-air-conditioned workers.
Hangzhou Greatstar Industrial.Co.,Haining GreatStar Hub,Humidex Heat Stress,High,Baseline,Historical mean of 117 days/year with humidex ≥ 40 (occupational heat stress threshold). Facilities in this zone should ensure adequate cooling and hydration provisions for outdoor and non-air-conditioned workers.
Hangzhou Greatstar Industrial.Co.,Goldblatt / GreatStar R&D,Humidex Heat Stress,Medium,Baseline,Historical mean of 79 days/year with humidex ≥ 40 (occupational heat stress threshold). Facilities in this zone should ensure adequate cooling and hydration provisions for outdoor and non-air-conditioned workers.
Hangzhou Greatstar Industrial.Co.,GreatStar Changzhou Base,Humidex Heat Stress,High,Baseline,Historical mean of 106 days/year with humidex ≥ 40 (occupational heat stress threshold). Facilities in this zone should ensure adequate cooling and hydration provisions for outdoor and non-air-conditioned workers.
Hangzhou Greatstar Industrial.Co.,Xiaoshan Logistics Base,Humidex Heat Stress,High,Baseline,Historical mean of 117 days/year with humidex ≥ 40 (occupational heat stress threshold). Facilities in this zone should ensure adequate cooling and hydration provisions for outdoor and non-air-conditioned workers.
Perrigo Company,Global Headquarters,Humidex Heat Stress,Negligible,Baseline,Historical climatology shows negligible occurrence of humidex ≥ 40 at this location. Heat stress is not a material operational risk.
Perrigo Company,N. American Corporate HQ,Humidex Heat Stress,Low,Baseline,Historical mean of 35 days/year with humidex ≥ 40 (occupational heat stress threshold). Facilities in this zone should ensure adequate cooling and hydration provisions for outdoor and non-air-conditioned workers.
Perrigo Company,Allegan Main Campus,Humidex Heat Stress,Low,Baseline,Historical mean of 38 days/year with humidex ≥ 40 (occupational heat stress threshold). Facilities in this zone should ensure adequate cooling and hydration provisions for outdoor and non-air-conditioned workers.
Perrigo Company,Allegan Water St Plant,Humidex Heat Stress,Low,Baseline,Historical mean of 38 days/year with humidex ≥ 40 (occupational heat stress threshold). Facilities in this zone should ensure adequate cooling and hydration provisions for outdoor and non-air-conditioned workers.
Perrigo Company,Eau Claire Facility,Humidex Heat Stress,Low,Baseline,Historical mean of 36 days/year with humidex ≥ 40 (occupational heat stress threshold). Facilities in this zone should ensure adequate cooling and hydration provisions for outdoor and non-air-conditioned workers.
Perrigo Company,PBM Nutritionals (Vermont),Humidex Heat Stress,Low,Baseline,Historical mean of 32 days/year with humidex ≥ 40 (occupational heat stress threshold). Facilities in this zone should ensure adequate cooling and hydration provisions for outdoor and non-air-conditioned workers.
Perrigo Company,Perrigo Direct Hub,Humidex Heat Stress,High,Baseline,Historical mean of 136 days/year with humidex ≥ 40 (occupational heat stress threshold). Facilities in this zone should ensure adequate cooling and hydration provisions for outdoor and non-air-conditioned workers.
Perrigo Company,Omaha Logistics Center,Humidex Heat Stress,Medium,Baseline,Historical mean of 64 days/year with humidex ≥ 40 (occupational heat stress threshold). Facilities in this zone should ensure adequate cooling and hydration provisions for outdoor and non-air-conditioned workers.
Perrigo Company,Perrigo Israel (Yeruham),Humidex Heat Stress,High,Baseline,Historical mean of 120 days/year with humidex ≥ 40 (occupational heat stress threshold). Facilities in this zone should ensure adequate cooling and hydration provisions for outdoor and non-air-conditioned workers.
Perrigo Company,Perrigo Mexico,Humidex Heat Stress,High,Baseline,Historical mean of 112 days/year with humidex ≥ 40 (occupational heat stress threshold). Facilities in this zone should ensure adequate cooling and hydration provisions for outdoor and non-air-conditioned workers.
Perrigo Company,Wrafton Laboratories (UK),Humidex Heat Stress,Negligible,Baseline,Historical climatology shows negligible occurrence of humidex ≥ 40 at this location. Heat stress is not a material operational risk.
Perrigo Company,Galpharm International,Humidex Heat Stress,Negligible,Baseline,Historical climatology shows negligible occurrence of humidex ≥ 40 at this location. Heat stress is not a material operational risk.
Perrigo Company,Rosemont Pharmaceuticals,Humidex Heat Stress,Negligible,Baseline,Historical climatology shows negligible occurrence of humidex ≥ 40 at this location. Heat stress is not a material operational risk.
Perrigo Company,HRA Pharma Global HQ,Humidex Heat Stress,Very Low,Baseline,Historical mean of 10 days/year with humidex ≥ 40 (occupational heat stress threshold). Facilities in this zone should ensure adequate cooling and hydration provisions for outdoor and non-air-conditioned workers.
Perrigo Company,HRA Pharma US,Humidex Heat Stress,Medium,Baseline,Historical mean of 67 days/year with humidex ≥ 40 (occupational heat stress threshold). Facilities in this zone should ensure adequate cooling and hydration provisions for outdoor and non-air-conditioned workers.
The Hain Celestial Group,Global Headquarters,Humidex Heat Stress,Medium,Baseline,Historical mean of 70 days/year with humidex ≥ 40 (occupational heat stress threshold). Facilities in this zone should ensure adequate cooling and hydration provisions for outdoor and non-air-conditioned workers.
The Hain Celestial Group,Celestial Seasonings,Humidex Heat Stress,Low,Baseline,Historical mean of 16 days/year with humidex ≥ 40 (occupational heat stress threshold). Facilities in this zone should ensure adequate cooling and hydration provisions for outdoor and non-air-conditioned workers.
The Hain Celestial Group,Hain Personal Care Hub,Humidex Heat Stress,Very Low,Baseline,Historical mean of 5 days/year with humidex ≥ 40 (occupational heat stress threshold). Facilities in this zone should ensure adequate cooling and hydration provisions for outdoor and non-air-conditioned workers.
The Hain Celestial Group,Hain Celestial Canada HQ,Humidex Heat Stress,Low,Baseline,Historical mean of 29 days/year with humidex ≥ 40 (occupational heat stress threshold). Facilities in this zone should ensure adequate cooling and hydration provisions for outdoor and non-air-conditioned workers.
The Hain Celestial Group,Mississauga Facility,Humidex Heat Stress,Low,Baseline,Historical mean of 29 days/year with humidex ≥ 40 (occupational heat stress threshold). Facilities in this zone should ensure adequate cooling and hydration provisions for outdoor and non-air-conditioned workers.
The Hain Celestial Group,Hain Daniels (Fakenham),Humidex Heat Stress,Negligible,Baseline,Historical climatology shows negligible occurrence of humidex ≥ 40 at this location. Heat stress is not a material operational risk.
The Hain Celestial Group,Hain Daniels (Histon),Humidex Heat Stress,Very Low,Baseline,Historical mean of 0 days/year with humidex ≥ 40 (occupational heat stress threshold). Facilities in this zone should ensure adequate cooling and hydration provisions for outdoor and non-air-conditioned workers.
The Hain Celestial Group,Fresh Innovation Centre,Humidex Heat Stress,Very Low,Baseline,Historical mean of 0 days/year with humidex ≥ 40 (occupational heat stress threshold). Facilities in this zone should ensure adequate cooling and hydration provisions for outdoor and non-air-conditioned workers.
The Hain Celestial Group,Ella’s Kitchen HQ,Humidex Heat Stress,Very Low,Baseline,Historical mean of 0 days/year with humidex ≥ 40 (occupational heat stress threshold). Facilities in this zone should ensure adequate cooling and hydration provisions for outdoor and non-air-conditioned workers.
The Hain Celestial Group,Natumi GmbH,Humidex Heat Stress,Very Low,Baseline,Historical mean of 9 days/year with humidex ≥ 40 (occupational heat stress threshold). Facilities in this zone should ensure adequate cooling and hydration provisions for outdoor and non-air-conditioned workers.
The Hain Celestial Group,Mona Naturprodukte (Joya),Humidex Heat Stress,Very Low,Baseline,Historical mean of 14 days/year with humidex ≥ 40 (occupational heat stress threshold). Facilities in this zone should ensure adequate cooling and hydration provisions for outdoor and non-air-conditioned workers.
The Hain Celestial Group,Cully & Sully,Humidex Heat Stress,Negligible,Baseline,Historical climatology shows negligible occurrence of humidex ≥ 40 at this location. Heat stress is not a material operational risk.
The Hain Celestial Group,Yorkshire Provender,Humidex Heat Stress,Negligible,Baseline,Historical climatology shows negligible occurrence of humidex ≥ 40 at this location. Heat stress is not a material operational risk.
ZURU LLC.,ZURU Global HQ,Humidex Heat Stress,Very High,Baseline,Historical mean of 180 days/year with humidex ≥ 40 (occupational heat stress threshold). Facilities in this zone should ensure adequate cooling and hydration provisions for outdoor and non-air-conditioned workers.
ZURU LLC.,ZURU US Flagship Campus,Humidex Heat Stress,Very Low,Baseline,Historical mean of 0 days/year with humidex ≥ 40 (occupational heat stress threshold). Facilities in this zone should ensure adequate cooling and hydration provisions for outdoor and non-air-conditioned workers.
ZURU LLC.,ZURU Shenzhen Hub,Humidex Heat Stress,Very High,Baseline,Historical mean of 185 days/year with humidex ≥ 40 (occupational heat stress threshold). Facilities in this zone should ensure adequate cooling and hydration provisions for outdoor and non-air-conditioned workers.
ZURU LLC.,ZURU Huizhou Smart Factory,Humidex Heat Stress,Very High,Baseline,Historical mean of 192 days/year with humidex ≥ 40 (occupational heat stress threshold). Facilities in this zone should ensure adequate cooling and hydration provisions for outdoor and non-air-conditioned workers.
ZURU LLC.,ZURU Guangzhou Plant,Humidex Heat Stress,Very High,Baseline,Historical mean of 188 days/year with humidex ≥ 40 (occupational heat stress threshold). Facilities in this zone should ensure adequate cooling and hydration provisions for outdoor and non-air-conditioned workers.
ZURU LLC.,ZURU New Zealand HQ,Humidex Heat Stress,Negligible,Baseline,Historical climatology shows negligible occurrence of humidex ≥ 40 at this location. Heat stress is not a material operational risk.
ZURU LLC.,ZURU Tech Italy (Modena),Humidex Heat Stress,Low,Baseline,Historical mean of 43 days/year with humidex ≥ 40 (occupational heat stress threshold). Facilities in this zone should ensure adequate cooling and hydration provisions for outdoor and non-air-conditioned workers.
ZURU LLC.,ZURU Tech India (Ahmedabad),Humidex Heat Stress,Very High,Baseline,Historical mean of 227 days/year with humidex ≥ 40 (occupational heat stress threshold). Facilities in this zone should ensure adequate cooling and hydration provisions for outdoor and non-air-conditioned workers.
ZURU LLC.,ZURU Tech India (Kolkata),Humidex Heat Stress,Critical,Baseline,Historical mean of 254 days/year with humidex ≥ 40 (occupational heat stress threshold). Facilities in this zone should ensure adequate cooling and hydration provisions for outdoor and non-air-conditioned workers.
ZURU LLC.,ZURU Bentonville Office,Humidex Heat Stress,High,Baseline,Historical mean of 97 days/year with humidex ≥ 40 (occupational heat stress threshold). Facilities in this zone should ensure adequate cooling and hydration provisions for outdoor and non-air-conditioned workers.
ZURU LLC.,ZURU Tech Italy (Milan),Humidex Heat Stress,Low,Baseline,Historical mean of 43 days/year with humidex ≥ 40 (occupational heat stress threshold). Facilities in this zone should ensure adequate cooling and hydration provisions for outdoor and non-air-conditioned workers.
ZURU LLC.,ZURU Dongguan Tech Center,Humidex Heat Stress,Very High,Baseline,Historical mean of 189 days/year with humidex ≥ 40 (occupational heat stress threshold). Facilities in this zone should ensure adequate cooling and hydration provisions for outdoor and non-air-conditioned workers.
John Paul Mitchell Systems,Global Headquarters,Humidex Heat Stress,Very Low,Baseline,Historical mean of 0 days/year with humidex ≥ 40 (occupational heat stress threshold). Facilities in this zone should ensure adequate cooling and hydration provisions for outdoor and non-air-conditioned workers.
John Paul Mitchell Systems,JPMS Creative Center,Humidex Heat Stress,Very Low,Baseline,Historical mean of 1 days/year with humidex ≥ 40 (occupational heat stress threshold). Facilities in this zone should ensure adequate cooling and hydration provisions for outdoor and non-air-conditioned workers.
John Paul Mitchell Systems,Santa Clarita DC,Humidex Heat Stress,Very Low,Baseline,Historical mean of 0 days/year with humidex ≥ 40 (occupational heat stress threshold). Facilities in this zone should ensure adequate cooling and hydration provisions for outdoor and non-air-conditioned workers.
John Paul Mitchell Systems,The Awapuhi Farm,Humidex Heat Stress,Negligible,Baseline,Historical climatology shows negligible occurrence of humidex ≥ 40 at this location. Heat stress is not a material operational risk.
John Paul Mitchell Systems,JPMS UK (Salon Success),Humidex Heat Stress,Very Low,Baseline,Historical mean of 0 days/year with humidex ≥ 40 (occupational heat stress threshold). Facilities in this zone should ensure adequate cooling and hydration provisions for outdoor and non-air-conditioned workers.
John Paul Mitchell Systems,JPMS European Hub,Humidex Heat Stress,Very Low,Baseline,Historical mean of 2 days/year with humidex ≥ 40 (occupational heat stress threshold). Facilities in this zone should ensure adequate cooling and hydration provisions for outdoor and non-air-conditioned workers.
