supplier_name,facility_name,risk_type,risk_level,risk_confidence,risk_trend,timeframe,impact_type,risk_description,primary_restriction_instrument,secondary_restriction_instrument,importing_jurisdiction,source_country_or_region,enforcement_status,context,monitoring_signals
Hangzhou Greatstar Industrial.Co.,Xiaoshan Logistics Base,Restricted Goods - Forced Labor,Already happening — enforcement intensifying,High,Deteriorating,Within 12 Months,Disruption,UFLPA enforcement escalation on Chinese-origin aluminum creates detention risk at US ports for Greatstar products containing these inputs. US importers must demonstrate that no forced labour from China is present in the supply chain or face CBP holds.,Uyghur Forced Labor Prevention Act (UFLPA) — CBP Enforcement Escalation,US CBP Enforcement Data; UFLPA Entity List,USA,China,Restriction_Escalating,US CBP quarterly detention data shows a sustained year-on-year increase in UFLPA-related holds on Chinese-origin goods. The UFLPA Entity List receives quarterly updates adding new Chinese manufacturers. Congressional oversight hearings in 2025 have called for expanded enforcement beyond XUAR-linked goods to any goods where forced labour cannot be excluded from the supply chain.,Monitor UFLPA Entity List quarterly updates (CBP.gov); US CBP trade statistics for China-origin holds; Congressional CECC reports; Kharon and Sayari Analytics entity screening for supplier relationships
Hangzhou Greatstar Industrial.Co.,Xiaoshan Logistics Base,Restricted Goods - Forced Labor,Already happening — enforcement intensifying,High,Deteriorating,Within 12 Months,Disruption,UFLPA enforcement escalation on Chinese-origin polysilicon creates detention risk at US ports for Greatstar products containing these inputs. US importers must demonstrate that no forced labour from China is present in the supply chain or face CBP holds.,Uyghur Forced Labor Prevention Act (UFLPA) — CBP Enforcement Escalation,US CBP Enforcement Data; UFLPA Entity List,USA,China,Restriction_Escalating,US CBP quarterly detention data shows a sustained year-on-year increase in UFLPA-related holds on Chinese-origin goods. The UFLPA Entity List receives quarterly updates adding new Chinese manufacturers. Congressional oversight hearings in 2025 have called for expanded enforcement beyond XUAR-linked goods to any goods where forced labour cannot be excluded from the supply chain.,Monitor UFLPA Entity List quarterly updates (CBP.gov); US CBP trade statistics for China-origin holds; Congressional CECC reports; Kharon and Sayari Analytics entity screening for supplier relationships
ZURU LLC.,ZURU Huizhou Smart Factory,Restricted Goods - Forced Labor,Already happening — enforcement intensifying,High,Deteriorating,Within 12 Months,Disruption,UFLPA rebuttable presumption applies to cotton lint with any nexus to XUAR. ZURU's toy manufacturing in Guangdong relies on textile and cotton inputs that may contain XUAR-origin fibre. US importers of Chinese toys face increasing CBP scrutiny and must maintain granular supply chain tracing documentation.,Uyghur Forced Labor Prevention Act (UFLPA) — Textile/Cotton Enforcement,US CBP; Cotton Campaign; UFLPA Entity List; Kharon Analytics,USA,"Xinjiang Uyghur Autonomous Region (XUAR), China",Restriction_Escalating,XUAR cotton and textiles remain subject to rebuttable presumption under UFLPA. Enforcement is not declining; CBP has expanded the universe of downstream products subject to scrutiny to include mixed-content goods where XUAR-origin fibre cannot be ruled out through supply chain tracing. Toy and apparel supply chains are a priority enforcement focus.,Monitor UFLPA XUAR-specific enforcement releases; Cotton Campaign reporting; Oritain and Haelixa fibre-tracing technology for supply chain verification
ZURU LLC.,ZURU Huizhou Smart Factory,Restricted Goods - Forced Labor,Already happening — enforcement intensifying,High,Deteriorating,Within 12 Months,Disruption,UFLPA rebuttable presumption applies to textiles (all) with any nexus to XUAR. ZURU's toy manufacturing in Guangdong relies on textile and cotton inputs that may contain XUAR-origin fibre. US importers of Chinese toys face increasing CBP scrutiny and must maintain granular supply chain tracing documentation.,Uyghur Forced Labor Prevention Act (UFLPA) — Textile/Cotton Enforcement,US CBP; Cotton Campaign; UFLPA Entity List; Kharon Analytics,USA,"Xinjiang Uyghur Autonomous Region (XUAR), China",Restriction_Escalating,XUAR cotton and textiles remain subject to rebuttable presumption under UFLPA. Enforcement is not declining; CBP has expanded the universe of downstream products subject to scrutiny to include mixed-content goods where XUAR-origin fibre cannot be ruled out through supply chain tracing. Toy and apparel supply chains are a priority enforcement focus.,Monitor UFLPA XUAR-specific enforcement releases; Cotton Campaign reporting; Oritain and Haelixa fibre-tracing technology for supply chain verification
ZURU LLC.,ZURU Huizhou Smart Factory,Restricted Goods - Forced Labor,Already happening — enforcement intensifying,High,Deteriorating,Within 12 Months,Disruption,UFLPA rebuttable presumption applies to cotton with any nexus to XUAR. ZURU's toy manufacturing in Guangdong relies on textile and cotton inputs that may contain XUAR-origin fibre. US importers of Chinese toys face increasing CBP scrutiny and must maintain granular supply chain tracing documentation.,Uyghur Forced Labor Prevention Act (UFLPA) — Textile/Cotton Enforcement,US CBP; Cotton Campaign; UFLPA Entity List; Kharon Analytics,USA,China,Restriction_Escalating,XUAR cotton and textiles remain subject to rebuttable presumption under UFLPA. Enforcement is not declining; CBP has expanded the universe of downstream products subject to scrutiny to include mixed-content goods where XUAR-origin fibre cannot be ruled out through supply chain tracing. Toy and apparel supply chains are a priority enforcement focus.,Monitor UFLPA XUAR-specific enforcement releases; Cotton Campaign reporting; Oritain and Haelixa fibre-tracing technology for supply chain verification
ZURU LLC.,ZURU Huizhou Smart Factory,Restricted Goods - Forced Labor,Already happening — enforcement intensifying,High,Deteriorating,Within 12 Months,Disruption,UFLPA rebuttable presumption applies to toys with any nexus to XUAR. ZURU's toy manufacturing in Guangdong relies on textile and cotton inputs that may contain XUAR-origin fibre. US importers of Chinese toys face increasing CBP scrutiny and must maintain granular supply chain tracing documentation.,Uyghur Forced Labor Prevention Act (UFLPA) — Textile/Cotton Enforcement,US CBP; Cotton Campaign; UFLPA Entity List; Kharon Analytics,USA,China,Restriction_Escalating,XUAR cotton and textiles remain subject to rebuttable presumption under UFLPA. Enforcement is not declining; CBP has expanded the universe of downstream products subject to scrutiny to include mixed-content goods where XUAR-origin fibre cannot be ruled out through supply chain tracing. Toy and apparel supply chains are a priority enforcement focus.,Monitor UFLPA XUAR-specific enforcement releases; Cotton Campaign reporting; Oritain and Haelixa fibre-tracing technology for supply chain verification
ZURU LLC.,ZURU Guangzhou Plant,Restricted Goods - Forced Labor,Already happening — enforcement intensifying,High,Deteriorating,Within 12 Months,Disruption,UFLPA rebuttable presumption applies to cotton lint with any nexus to XUAR. ZURU's toy manufacturing in Guangdong relies on textile and cotton inputs that may contain XUAR-origin fibre. US importers of Chinese toys face increasing CBP scrutiny and must maintain granular supply chain tracing documentation.,Uyghur Forced Labor Prevention Act (UFLPA) — Textile/Cotton Enforcement,US CBP; Cotton Campaign; UFLPA Entity List; Kharon Analytics,USA,"Xinjiang Uyghur Autonomous Region (XUAR), China",Restriction_Escalating,XUAR cotton and textiles remain subject to rebuttable presumption under UFLPA. Enforcement is not declining; CBP has expanded the universe of downstream products subject to scrutiny to include mixed-content goods where XUAR-origin fibre cannot be ruled out through supply chain tracing. Toy and apparel supply chains are a priority enforcement focus.,Monitor UFLPA XUAR-specific enforcement releases; Cotton Campaign reporting; Oritain and Haelixa fibre-tracing technology for supply chain verification
ZURU LLC.,ZURU Guangzhou Plant,Restricted Goods - Forced Labor,Already happening — enforcement intensifying,High,Deteriorating,Within 12 Months,Disruption,UFLPA rebuttable presumption applies to textiles (all) with any nexus to XUAR. ZURU's toy manufacturing in Guangdong relies on textile and cotton inputs that may contain XUAR-origin fibre. US importers of Chinese toys face increasing CBP scrutiny and must maintain granular supply chain tracing documentation.,Uyghur Forced Labor Prevention Act (UFLPA) — Textile/Cotton Enforcement,US CBP; Cotton Campaign; UFLPA Entity List; Kharon Analytics,USA,"Xinjiang Uyghur Autonomous Region (XUAR), China",Restriction_Escalating,XUAR cotton and textiles remain subject to rebuttable presumption under UFLPA. Enforcement is not declining; CBP has expanded the universe of downstream products subject to scrutiny to include mixed-content goods where XUAR-origin fibre cannot be ruled out through supply chain tracing. Toy and apparel supply chains are a priority enforcement focus.,Monitor UFLPA XUAR-specific enforcement releases; Cotton Campaign reporting; Oritain and Haelixa fibre-tracing technology for supply chain verification
ZURU LLC.,ZURU Guangzhou Plant,Restricted Goods - Forced Labor,Already happening — enforcement intensifying,High,Deteriorating,Within 12 Months,Disruption,UFLPA rebuttable presumption applies to cotton with any nexus to XUAR. ZURU's toy manufacturing in Guangdong relies on textile and cotton inputs that may contain XUAR-origin fibre. US importers of Chinese toys face increasing CBP scrutiny and must maintain granular supply chain tracing documentation.,Uyghur Forced Labor Prevention Act (UFLPA) — Textile/Cotton Enforcement,US CBP; Cotton Campaign; UFLPA Entity List; Kharon Analytics,USA,China,Restriction_Escalating,XUAR cotton and textiles remain subject to rebuttable presumption under UFLPA. Enforcement is not declining; CBP has expanded the universe of downstream products subject to scrutiny to include mixed-content goods where XUAR-origin fibre cannot be ruled out through supply chain tracing. Toy and apparel supply chains are a priority enforcement focus.,Monitor UFLPA XUAR-specific enforcement releases; Cotton Campaign reporting; Oritain and Haelixa fibre-tracing technology for supply chain verification
ZURU LLC.,ZURU Guangzhou Plant,Restricted Goods - Forced Labor,Already happening — enforcement intensifying,High,Deteriorating,Within 12 Months,Disruption,UFLPA rebuttable presumption applies to toys with any nexus to XUAR. ZURU's toy manufacturing in Guangdong relies on textile and cotton inputs that may contain XUAR-origin fibre. US importers of Chinese toys face increasing CBP scrutiny and must maintain granular supply chain tracing documentation.,Uyghur Forced Labor Prevention Act (UFLPA) — Textile/Cotton Enforcement,US CBP; Cotton Campaign; UFLPA Entity List; Kharon Analytics,USA,China,Restriction_Escalating,XUAR cotton and textiles remain subject to rebuttable presumption under UFLPA. Enforcement is not declining; CBP has expanded the universe of downstream products subject to scrutiny to include mixed-content goods where XUAR-origin fibre cannot be ruled out through supply chain tracing. Toy and apparel supply chains are a priority enforcement focus.,Monitor UFLPA XUAR-specific enforcement releases; Cotton Campaign reporting; Oritain and Haelixa fibre-tracing technology for supply chain verification
Techtronic Industries,TTI Dongguan Hub,Restricted Goods - Forced Labor,Likely within 12 months — compliance programmes must begin now,Moderate,Deteriorating,Within 12 Months,Compliance,"EU CSDDD transposition requires EU-bound supply chains to conduct human rights due diligence on electronics sourced from China. Companies must identify, prevent, and mitigate adverse impacts. Non-compliance by 2027 will carry civil liability and injunctive remedies under national law.",EU Corporate Sustainability Due Diligence Directive (CSDDD) 2024/1760,EU Official Journal (2024/1760); European Commission CSDDD Guidance,EU,China,New_Regulatory_Framework,"EU CSDDD (Directive 2024/1760) entered into force July 2024. EU member states have until July 2026 to transpose into national law. The largest companies (>5,000 employees / €1.5B turnover) face compliance obligations from 2027. Forward-looking due diligence programmes must begin immediately. Procurement teams are now required to assess and address adverse human rights impacts in supply chains from high-risk sourcing regions.","Monitor national transposition progress via EUR-Lex; EU Commission guidance documents; industry association compliance guidance (amfori, ecovadis); supplier self-assessment questionnaire rollout timelines"
Techtronic Industries,TTI Dongguan Hub,Restricted Goods - Forced Labor,Likely within 12 months — compliance programmes must begin now,Moderate,Deteriorating,Within 12 Months,Compliance,"EU CSDDD transposition requires EU-bound supply chains to conduct human rights due diligence on aluminum sourced from China. Companies must identify, prevent, and mitigate adverse impacts. Non-compliance by 2027 will carry civil liability and injunctive remedies under national law.",EU Corporate Sustainability Due Diligence Directive (CSDDD) 2024/1760,EU Official Journal (2024/1760); European Commission CSDDD Guidance,EU,China,New_Regulatory_Framework,"EU CSDDD (Directive 2024/1760) entered into force July 2024. EU member states have until July 2026 to transpose into national law. The largest companies (>5,000 employees / €1.5B turnover) face compliance obligations from 2027. Forward-looking due diligence programmes must begin immediately. Procurement teams are now required to assess and address adverse human rights impacts in supply chains from high-risk sourcing regions.","Monitor national transposition progress via EUR-Lex; EU Commission guidance documents; industry association compliance guidance (amfori, ecovadis); supplier self-assessment questionnaire rollout timelines"
Hangzhou Greatstar Industrial.Co.,Haining GreatStar Hub,Restricted Goods - Forced Labor,Likely within 12 months — compliance programmes must begin now,Moderate,Deteriorating,Within 12 Months,Compliance,"EU CSDDD transposition requires EU-bound supply chains to conduct human rights due diligence on electronics sourced from China. Companies must identify, prevent, and mitigate adverse impacts. Non-compliance by 2027 will carry civil liability and injunctive remedies under national law.",EU Corporate Sustainability Due Diligence Directive (CSDDD) 2024/1760,EU Official Journal (2024/1760); European Commission CSDDD Guidance,EU,China,New_Regulatory_Framework,"EU CSDDD (Directive 2024/1760) entered into force July 2024. EU member states have until July 2026 to transpose into national law. The largest companies (>5,000 employees / €1.5B turnover) face compliance obligations from 2027. Forward-looking due diligence programmes must begin immediately. Procurement teams are now required to assess and address adverse human rights impacts in supply chains from high-risk sourcing regions.","Monitor national transposition progress via EUR-Lex; EU Commission guidance documents; industry association compliance guidance (amfori, ecovadis); supplier self-assessment questionnaire rollout timelines"
Hangzhou Greatstar Industrial.Co.,GreatStar Changzhou Base,Restricted Goods - Forced Labor,Likely within 12 months — compliance programmes must begin now,Moderate,Deteriorating,Within 12 Months,Compliance,"EU CSDDD transposition requires EU-bound supply chains to conduct human rights due diligence on electronics sourced from China. Companies must identify, prevent, and mitigate adverse impacts. Non-compliance by 2027 will carry civil liability and injunctive remedies under national law.",EU Corporate Sustainability Due Diligence Directive (CSDDD) 2024/1760,EU Official Journal (2024/1760); European Commission CSDDD Guidance,EU,China,New_Regulatory_Framework,"EU CSDDD (Directive 2024/1760) entered into force July 2024. EU member states have until July 2026 to transpose into national law. The largest companies (>5,000 employees / €1.5B turnover) face compliance obligations from 2027. Forward-looking due diligence programmes must begin immediately. Procurement teams are now required to assess and address adverse human rights impacts in supply chains from high-risk sourcing regions.","Monitor national transposition progress via EUR-Lex; EU Commission guidance documents; industry association compliance guidance (amfori, ecovadis); supplier self-assessment questionnaire rollout timelines"
ZURU LLC.,ZURU Huizhou Smart Factory,Restricted Goods - Forced Labor,Likely within 12 months — compliance programmes must begin now,Moderate,Deteriorating,Within 12 Months,Compliance,"EU CSDDD transposition requires EU-bound supply chains to conduct human rights due diligence on toys sourced from China. Companies must identify, prevent, and mitigate adverse impacts. Non-compliance by 2027 will carry civil liability and injunctive remedies under national law.",EU Corporate Sustainability Due Diligence Directive (CSDDD) 2024/1760,EU Official Journal (2024/1760); European Commission CSDDD Guidance,EU,China,New_Regulatory_Framework,"EU CSDDD (Directive 2024/1760) entered into force July 2024. EU member states have until July 2026 to transpose into national law. The largest companies (>5,000 employees / €1.5B turnover) face compliance obligations from 2027. Forward-looking due diligence programmes must begin immediately. Procurement teams are now required to assess and address adverse human rights impacts in supply chains from high-risk sourcing regions.","Monitor national transposition progress via EUR-Lex; EU Commission guidance documents; industry association compliance guidance (amfori, ecovadis); supplier self-assessment questionnaire rollout timelines"
ZURU LLC.,ZURU Huizhou Smart Factory,Restricted Goods - Forced Labor,Likely within 12 months — compliance programmes must begin now,Moderate,Deteriorating,Within 12 Months,Compliance,"EU CSDDD transposition requires EU-bound supply chains to conduct human rights due diligence on cotton sourced from China. Companies must identify, prevent, and mitigate adverse impacts. Non-compliance by 2027 will carry civil liability and injunctive remedies under national law.",EU Corporate Sustainability Due Diligence Directive (CSDDD) 2024/1760,EU Official Journal (2024/1760); European Commission CSDDD Guidance,EU,China,New_Regulatory_Framework,"EU CSDDD (Directive 2024/1760) entered into force July 2024. EU member states have until July 2026 to transpose into national law. The largest companies (>5,000 employees / €1.5B turnover) face compliance obligations from 2027. Forward-looking due diligence programmes must begin immediately. Procurement teams are now required to assess and address adverse human rights impacts in supply chains from high-risk sourcing regions.","Monitor national transposition progress via EUR-Lex; EU Commission guidance documents; industry association compliance guidance (amfori, ecovadis); supplier self-assessment questionnaire rollout timelines"
"S.C. Johnson & Son, Inc.",Shanghai Johnson Ltd,Restricted Goods - Forced Labor,Likely within 12 months — compliance programmes must begin now,Moderate,Deteriorating,Within 12 Months,Compliance,"EU CSDDD transposition requires EU-bound supply chains to conduct human rights due diligence on caustic soda sourced from China. Companies must identify, prevent, and mitigate adverse impacts. Non-compliance by 2027 will carry civil liability and injunctive remedies under national law.",EU Corporate Sustainability Due Diligence Directive (CSDDD) 2024/1760,EU Official Journal (2024/1760); European Commission CSDDD Guidance,EU,China,New_Regulatory_Framework,"EU CSDDD (Directive 2024/1760) entered into force July 2024. EU member states have until July 2026 to transpose into national law. The largest companies (>5,000 employees / €1.5B turnover) face compliance obligations from 2027. Forward-looking due diligence programmes must begin immediately. Procurement teams are now required to assess and address adverse human rights impacts in supply chains from high-risk sourcing regions.","Monitor national transposition progress via EUR-Lex; EU Commission guidance documents; industry association compliance guidance (amfori, ecovadis); supplier self-assessment questionnaire rollout timelines"
"GOJO Industries, Inc.",GOJO América Latina,Restricted Goods - Forced Labor,Already happening — enforcement in force,High,Deteriorating,Within 12 Months,Compliance,"EUDR enforcement requires GOJO to demonstrate that cattle sourced from Brazil for soap and surfactant production does not originate from deforested or degraded land after December 2020. Additionally, ILAB and NGO monitoring of Brazilian agricultural labour conditions intensifies CSDDD-linked due diligence requirements for EU-destined goods.",EU Deforestation Regulation (EUDR) 2023/1115,EU Official Journal 2023/1115; ILAB Brazil Country Report; Rainforest Alliance; Global Forest Watch,EU,Brazil,Restriction_Escalating,"EU Deforestation Regulation (EUDR) enforcement for large operators began December 2024 (delayed from original date). The regulation creates mandatory due diligence and traceability requirements for cattle, cocoa, coffee, palm oil, soya, timber, rubber, and derived products. Brazil is the highest-risk source country for cattle and cocoa. Failure to demonstrate deforestation-free sourcing will block EU market access.","Monitor EU Commission EUDR implementation portal; Brazil deforestation monitoring (PRODES/DETER, MapBiomas); EUDR traceability platform development; EUDR enforcement announcements from EU member state competent authorities"
"GOJO Industries, Inc.",GOJO América Latina,Restricted Goods - Forced Labor,Already happening — enforcement in force,High,Deteriorating,Within 12 Months,Compliance,"EUDR enforcement requires GOJO to demonstrate that cocoa sourced from Brazil for soap and surfactant production does not originate from deforested or degraded land after December 2020. Additionally, ILAB and NGO monitoring of Brazilian agricultural labour conditions intensifies CSDDD-linked due diligence requirements for EU-destined goods.",EU Deforestation Regulation (EUDR) 2023/1115,EU Official Journal 2023/1115; ILAB Brazil Country Report; Rainforest Alliance; Global Forest Watch,EU,Brazil,Restriction_Escalating,"EU Deforestation Regulation (EUDR) enforcement for large operators began December 2024 (delayed from original date). The regulation creates mandatory due diligence and traceability requirements for cattle, cocoa, coffee, palm oil, soya, timber, rubber, and derived products. Brazil is the highest-risk source country for cattle and cocoa. Failure to demonstrate deforestation-free sourcing will block EU market access.","Monitor EU Commission EUDR implementation portal; Brazil deforestation monitoring (PRODES/DETER, MapBiomas); EUDR traceability platform development; EUDR enforcement announcements from EU member state competent authorities"
