supplier_name,facility_name,risk_type,risk_level,risk_confidence,risk_trend,timeframe,context
Garmin International,Garmin Birtley (UK),Humidex Heat Stress,Negligible,Medium,Stable,Within 12 Months,Humidex heat stress risk (Negligible) is expected to persist within this 12-month horizon. Seasonal temperature variability applies but no structural change in occupational heat risk anticipated.
Garmin International,Garmin Australasia,Humidex Heat Stress,Medium,High,Stable,Within 12 Months,All SSP scenarios consistently project Medium risk (64 days/year ≥ HX40).
Techtronic Industries,TTI Innovation Center,Humidex Heat Stress,Very High,Medium,Deteriorating,Within 12 Months,"SSP scenarios project 158 days/year ≥ HX40 under the central scenario, ranging from High to Very High risk across emissions pathways. Projected increase in heat stress days relative to historical baseline."
Techtronic Industries,Milwaukee Tool Global HQ,Humidex Heat Stress,Medium,Medium,Deteriorating,Within 12 Months,"SSP scenarios project 49 days/year ≥ HX40 under the central scenario, ranging from Low to Medium risk across emissions pathways. Projected increase in heat stress days relative to historical baseline."
Techtronic Industries,Milwaukee Tool Jackson Plant,Humidex Heat Stress,Very High,High,Stable,Within 12 Months,All SSP scenarios consistently project Very High risk (177 days/year ≥ HX40).
Techtronic Industries,Milwaukee Tool Grenada Plant,Humidex Heat Stress,Very High,Medium,Deteriorating,Within 12 Months,"SSP scenarios project 158 days/year ≥ HX40 under the central scenario, ranging from High to Very High risk across emissions pathways. Projected increase in heat stress days relative to historical baseline."
Techtronic Industries,Milwaukee Tool Greenwood Plant,Humidex Heat Stress,Very High,High,Deteriorating,Within 12 Months,All SSP scenarios consistently project Very High risk (163 days/year ≥ HX40). Projected increase in heat stress days relative to historical baseline.
Techtronic Industries,Milwaukee Tool Olive Branch DC,Humidex Heat Stress,High,High,Stable,Within 12 Months,All SSP scenarios consistently project High risk (150 days/year ≥ HX40).
Techtronic Industries,Milwaukee Tool Clinton Plant,Humidex Heat Stress,Very High,High,Stable,Within 12 Months,All SSP scenarios consistently project Very High risk (176 days/year ≥ HX40).
Techtronic Industries,Milwaukee Tool West Bend,Humidex Heat Stress,Medium,Medium,Deteriorating,Within 12 Months,"SSP scenarios project 47 days/year ≥ HX40 under the central scenario, ranging from Low to Medium risk across emissions pathways. Projected increase in heat stress days relative to historical baseline."
Techtronic Industries,Empire Level (Subsidiary),Humidex Heat Stress,Medium,Medium,Deteriorating,Within 12 Months,"SSP scenarios project 54 days/year ≥ HX40 under the central scenario, ranging from Low to Medium risk across emissions pathways. Projected increase in heat stress days relative to historical baseline."
Techtronic Industries,Milwaukee Tool Torreon,Humidex Heat Stress,Very High,High,Stable,Within 12 Months,All SSP scenarios consistently project Very High risk (188 days/year ≥ HX40).
Techtronic Industries,TTI Floor Care N.A.,Humidex Heat Stress,Very High,Medium,Deteriorating,Within 12 Months,"SSP scenarios project 151 days/year ≥ HX40 under the central scenario, ranging from High to Very High risk across emissions pathways. Projected increase in heat stress days relative to historical baseline."
Techtronic Industries,TTI Dongguan Hub,Humidex Heat Stress,Very High,High,Stable,Within 12 Months,All SSP scenarios consistently project Very High risk (196 days/year ≥ HX40).
Techtronic Industries,TTI Vietnam (SHTP),Humidex Heat Stress,Critical,High,Stable,Within 12 Months,All SSP scenarios consistently project Critical risk (362 days/year ≥ HX40).
Techtronic Industries,DreBo Werkzeugfabrik,Humidex Heat Stress,Very Low,Medium,Stable,Within 12 Months,"SSP scenarios project 12 days/year ≥ HX40 under the central scenario, ranging from Very Low to Low risk across emissions pathways."
Techtronic Industries,Ryobi Die Casting (USA),Humidex Heat Stress,High,High,Deteriorating,Within 12 Months,All SSP scenarios consistently project High risk (108 days/year ≥ HX40). Projected increase in heat stress days relative to historical baseline.
"S.C. Johnson & Son, Inc.",Global Corporate HQ,Humidex Heat Stress,Low,High,Stable,Within 12 Months,All SSP scenarios consistently project Low risk (45 days/year ≥ HX40).
"S.C. Johnson & Son, Inc.",Waxdale Facility,Humidex Heat Stress,Low,High,Stable,Within 12 Months,All SSP scenarios consistently project Low risk (45 days/year ≥ HX40).
"S.C. Johnson & Son, Inc.",Ziploc Bay City Plant,Humidex Heat Stress,Medium,Medium,Deteriorating,Within 12 Months,"SSP scenarios project 50 days/year ≥ HX40 under the central scenario, ranging from Low to Medium risk across emissions pathways. Projected increase in heat stress days relative to historical baseline."
"S.C. Johnson & Son, Inc.",North America HQ,Humidex Heat Stress,Medium,High,Deteriorating,Within 12 Months,All SSP scenarios consistently project Medium risk (75 days/year ≥ HX40). Projected increase in heat stress days relative to historical baseline.
"S.C. Johnson & Son, Inc.","Method ""Soapbox""",Humidex Heat Stress,Medium,High,Stable,Within 12 Months,All SSP scenarios consistently project Medium risk (81 days/year ≥ HX40).
"S.C. Johnson & Son, Inc.",SC Johnson Professional HQ,Humidex Heat Stress,Very High,Medium,Deteriorating,Within 12 Months,"SSP scenarios project 154 days/year ≥ HX40 under the central scenario, ranging from High to Very High risk across emissions pathways. Projected increase in heat stress days relative to historical baseline."
"S.C. Johnson & Son, Inc.",Stanley Plant (SCJP),Humidex Heat Stress,Very High,Medium,Deteriorating,Within 12 Months,"SSP scenarios project 153 days/year ≥ HX40 under the central scenario, ranging from High to Very High risk across emissions pathways. Projected increase in heat stress days relative to historical baseline."
"S.C. Johnson & Son, Inc.",SCJ Europlant,Humidex Heat Stress,Very Low,High,Stable,Within 12 Months,All SSP scenarios consistently project Very Low risk (3 days/year ≥ HX40).
"S.C. Johnson & Son, Inc.",European Headquarters (Rolle),Humidex Heat Stress,Low,High,Deteriorating,Within 12 Months,All SSP scenarios consistently project Low risk (18 days/year ≥ HX40). Projected increase in heat stress days relative to historical baseline.
"S.C. Johnson & Son, Inc.",Gorzów Manufacturing,Humidex Heat Stress,Low,Medium,Deteriorating,Within 12 Months,"SSP scenarios project 16 days/year ≥ HX40 under the central scenario, ranging from Very Low to Low risk across emissions pathways. Projected increase in heat stress days relative to historical baseline."
"S.C. Johnson & Son, Inc.",Rosslyn Factory,Humidex Heat Stress,High,High,Deteriorating,Within 12 Months,All SSP scenarios consistently project High risk (105 days/year ≥ HX40). Projected increase in heat stress days relative to historical baseline.
"S.C. Johnson & Son, Inc.",Shanghai Johnson Ltd,Humidex Heat Stress,High,High,Stable,Within 12 Months,All SSP scenarios consistently project High risk (105 days/year ≥ HX40).
"S.C. Johnson & Son, Inc.",SC Johnson Vietnam,Humidex Heat Stress,Critical,High,Stable,Within 12 Months,All SSP scenarios consistently project Critical risk (363 days/year ≥ HX40).
"S.C. Johnson & Son, Inc.",LATAM Regional HQ,Humidex Heat Stress,Medium,High,Stable,Within 12 Months,All SSP scenarios consistently project Medium risk (81 days/year ≥ HX40).
"S.C. Johnson & Son, Inc.",Pilar Manufacturing,Humidex Heat Stress,Medium,High,Stable,Within 12 Months,All SSP scenarios consistently project Medium risk (87 days/year ≥ HX40).
"S.C. Johnson & Son, Inc.",Toluca Plant,Humidex Heat Stress,Very Low,Medium,Stable,Within 12 Months,"SSP scenarios project 8 days/year ≥ HX40 under the central scenario, ranging from Very Low to Low risk across emissions pathways."
"GOJO Industries, Inc.",Global Headquarters,Humidex Heat Stress,Medium,High,Stable,Within 12 Months,All SSP scenarios consistently project Medium risk (70 days/year ≥ HX40).
"GOJO Industries, Inc.",Lippman Campus (Stow),Humidex Heat Stress,Medium,High,Stable,Within 12 Months,All SSP scenarios consistently project Medium risk (71 days/year ≥ HX40).
"GOJO Industries, Inc.",Cuyahoga Falls Plant,Humidex Heat Stress,Medium,High,Stable,Within 12 Months,All SSP scenarios consistently project Medium risk (70 days/year ≥ HX40).
"GOJO Industries, Inc.",Wooster Facility,Humidex Heat Stress,Medium,High,Stable,Within 12 Months,All SSP scenarios consistently project Medium risk (70 days/year ≥ HX40).
"GOJO Industries, Inc.",Maple Heights Plant,Humidex Heat Stress,Medium,High,Deteriorating,Within 12 Months,All SSP scenarios consistently project Medium risk (69 days/year ≥ HX40). Projected increase in heat stress days relative to historical baseline.
"GOJO Industries, Inc.",Ashland Dist. Center,Humidex Heat Stress,Medium,High,Deteriorating,Within 12 Months,All SSP scenarios consistently project Medium risk (67 days/year ≥ HX40). Projected increase in heat stress days relative to historical baseline.
"GOJO Industries, Inc.",Navarre Warehouse,Humidex Heat Stress,Medium,High,Stable,Within 12 Months,All SSP scenarios consistently project Medium risk (74 days/year ≥ HX40).
"GOJO Industries, Inc.",GOJO Europe (UK HQ),Humidex Heat Stress,Very Low,High,Stable,Within 12 Months,All SSP scenarios consistently project Very Low risk (2 days/year ≥ HX40).
"GOJO Industries, Inc.",GOJO France SARL,Humidex Heat Stress,Very Low,High,Stable,Within 12 Months,All SSP scenarios consistently project Very Low risk (8 days/year ≥ HX40).
"GOJO Industries, Inc.",GOJO Australasia,Humidex Heat Stress,Medium,Medium,Deteriorating,Within 12 Months,"SSP scenarios project 51 days/year ≥ HX40 under the central scenario, ranging from Low to Medium risk across emissions pathways. Projected increase in heat stress days relative to historical baseline."
"GOJO Industries, Inc.","GOJO Japan, Inc.",Humidex Heat Stress,High,Medium,Deteriorating,Within 12 Months,"SSP scenarios project 91 days/year ≥ HX40 under the central scenario, ranging from Medium to High risk across emissions pathways. Projected increase in heat stress days relative to historical baseline."
"GOJO Industries, Inc.",GOJO América Latina,Humidex Heat Stress,Very High,High,Stable,Within 12 Months,All SSP scenarios consistently project Very High risk (191 days/year ≥ HX40).
"GOJO Industries, Inc.",GOJO Canada Inc.,Humidex Heat Stress,Low,High,Stable,Within 12 Months,All SSP scenarios consistently project Low risk (43 days/year ≥ HX40).
Hangzhou Greatstar Industrial.Co.,Global Headquarters,Humidex Heat Stress,High,High,Stable,Within 12 Months,All SSP scenarios consistently project High risk (131 days/year ≥ HX40).
Hangzhou Greatstar Industrial.Co.,GreatStar Industrial USA,Humidex Heat Stress,Very High,Medium,Deteriorating,Within 12 Months,"SSP scenarios project 151 days/year ≥ HX40 under the central scenario, ranging from High to Very High risk across emissions pathways. Projected increase in heat stress days relative to historical baseline."
Hangzhou Greatstar Industrial.Co.,Arrow Fastener Co. HQ,Humidex Heat Stress,High,Medium,Deteriorating,Within 12 Months,"SSP scenarios project 94 days/year ≥ HX40 under the central scenario, ranging from Medium to High risk across emissions pathways. Projected increase in heat stress days relative to historical baseline."
Hangzhou Greatstar Industrial.Co.,Shop-Vac / SK Tools USA,Humidex Heat Stress,Medium,Medium,Deteriorating,Within 12 Months,"SSP scenarios project 68 days/year ≥ HX40 under the central scenario, ranging from Low to Medium risk across emissions pathways. Projected increase in heat stress days relative to historical baseline."
Hangzhou Greatstar Industrial.Co.,Prime-Line Products,Humidex Heat Stress,Low,Medium,Deteriorating,Within 12 Months,"SSP scenarios project 16 days/year ≥ HX40 under the central scenario, ranging from Very Low to Low risk across emissions pathways. Projected increase in heat stress days relative to historical baseline."
Hangzhou Greatstar Industrial.Co.,LISTA AG (Switzerland),Humidex Heat Stress,Low,High,Deteriorating,Within 12 Months,All SSP scenarios consistently project Low risk (17 days/year ≥ HX40). Projected increase in heat stress days relative to historical baseline.
Hangzhou Greatstar Industrial.Co.,BeA GmbH (Germany),Humidex Heat Stress,Very Low,High,Stable,Within 12 Months,All SSP scenarios consistently project Very Low risk (8 days/year ≥ HX40).
Hangzhou Greatstar Industrial.Co.,Zhongshan Geelong Mfg,Humidex Heat Stress,Very High,High,Stable,Within 12 Months,All SSP scenarios consistently project Very High risk (188 days/year ≥ HX40).
Hangzhou Greatstar Industrial.Co.,GreatStar Vietnam Base,Humidex Heat Stress,Very High,High,Stable,Within 12 Months,All SSP scenarios consistently project Very High risk (221 days/year ≥ HX40).
Hangzhou Greatstar Industrial.Co.,GreatStar Thailand Base,Humidex Heat Stress,Critical,High,Stable,Within 12 Months,All SSP scenarios consistently project Critical risk (349 days/year ≥ HX40).
Hangzhou Greatstar Industrial.Co.,Haining GreatStar Hub,Humidex Heat Stress,High,High,Stable,Within 12 Months,All SSP scenarios consistently project High risk (131 days/year ≥ HX40).
Hangzhou Greatstar Industrial.Co.,Goldblatt / GreatStar R&D,Humidex Heat Stress,High,High,Deteriorating,Within 12 Months,All SSP scenarios consistently project High risk (105 days/year ≥ HX40). Projected increase in heat stress days relative to historical baseline.
Hangzhou Greatstar Industrial.Co.,GreatStar Changzhou Base,Humidex Heat Stress,High,High,Stable,Within 12 Months,All SSP scenarios consistently project High risk (117 days/year ≥ HX40).
Hangzhou Greatstar Industrial.Co.,Xiaoshan Logistics Base,Humidex Heat Stress,High,High,Stable,Within 12 Months,All SSP scenarios consistently project High risk (132 days/year ≥ HX40).
Perrigo Company,Global Headquarters,Humidex Heat Stress,Negligible,Medium,Stable,Within 12 Months,Humidex heat stress risk (Negligible) is expected to persist within this 12-month horizon. Seasonal temperature variability applies but no structural change in occupational heat risk anticipated.
Perrigo Company,N. American Corporate HQ,Humidex Heat Stress,Medium,High,Deteriorating,Within 12 Months,All SSP scenarios consistently project Medium risk (61 days/year ≥ HX40). Projected increase in heat stress days relative to historical baseline.
Perrigo Company,Allegan Main Campus,Humidex Heat Stress,Medium,High,Deteriorating,Within 12 Months,All SSP scenarios consistently project Medium risk (66 days/year ≥ HX40). Projected increase in heat stress days relative to historical baseline.
Perrigo Company,Allegan Water St Plant,Humidex Heat Stress,Medium,High,Deteriorating,Within 12 Months,All SSP scenarios consistently project Medium risk (66 days/year ≥ HX40). Projected increase in heat stress days relative to historical baseline.
Perrigo Company,Eau Claire Facility,Humidex Heat Stress,Medium,High,Deteriorating,Within 12 Months,All SSP scenarios consistently project Medium risk (67 days/year ≥ HX40). Projected increase in heat stress days relative to historical baseline.
Perrigo Company,PBM Nutritionals (Vermont),Humidex Heat Stress,Medium,Medium,Deteriorating,Within 12 Months,"SSP scenarios project 54 days/year ≥ HX40 under the central scenario, ranging from Low to Medium risk across emissions pathways. Projected increase in heat stress days relative to historical baseline."
Perrigo Company,Perrigo Direct Hub,Humidex Heat Stress,Very High,High,Deteriorating,Within 12 Months,All SSP scenarios consistently project Very High risk (162 days/year ≥ HX40). Projected increase in heat stress days relative to historical baseline.
Perrigo Company,Omaha Logistics Center,Humidex Heat Stress,High,Medium,Deteriorating,Within 12 Months,"SSP scenarios project 95 days/year ≥ HX40 under the central scenario, ranging from Medium to High risk across emissions pathways. Projected increase in heat stress days relative to historical baseline."
Perrigo Company,Perrigo Israel (Yeruham),Humidex Heat Stress,High,High,Stable,Within 12 Months,All SSP scenarios consistently project High risk (141 days/year ≥ HX40).
Perrigo Company,Perrigo Mexico,Humidex Heat Stress,High,High,Stable,Within 12 Months,All SSP scenarios consistently project High risk (131 days/year ≥ HX40).
Perrigo Company,Wrafton Laboratories (UK),Humidex Heat Stress,Negligible,Medium,Stable,Within 12 Months,Humidex heat stress risk (Negligible) is expected to persist within this 12-month horizon. Seasonal temperature variability applies but no structural change in occupational heat risk anticipated.
Perrigo Company,Galpharm International,Humidex Heat Stress,Negligible,Medium,Stable,Within 12 Months,Humidex heat stress risk (Negligible) is expected to persist within this 12-month horizon. Seasonal temperature variability applies but no structural change in occupational heat risk anticipated.
Perrigo Company,Rosemont Pharmaceuticals,Humidex Heat Stress,Negligible,Medium,Stable,Within 12 Months,Humidex heat stress risk (Negligible) is expected to persist within this 12-month horizon. Seasonal temperature variability applies but no structural change in occupational heat risk anticipated.
Perrigo Company,HRA Pharma Global HQ,Humidex Heat Stress,Low,High,Deteriorating,Within 12 Months,All SSP scenarios consistently project Low risk (24 days/year ≥ HX40). Projected increase in heat stress days relative to historical baseline.
Perrigo Company,HRA Pharma US,Humidex Heat Stress,High,Medium,Deteriorating,Within 12 Months,"SSP scenarios project 92 days/year ≥ HX40 under the central scenario, ranging from Medium to High risk across emissions pathways. Projected increase in heat stress days relative to historical baseline."
The Hain Celestial Group,Global Headquarters,Humidex Heat Stress,High,Medium,Deteriorating,Within 12 Months,"SSP scenarios project 96 days/year ≥ HX40 under the central scenario, ranging from Medium to High risk across emissions pathways. Projected increase in heat stress days relative to historical baseline."
The Hain Celestial Group,Celestial Seasonings,Humidex Heat Stress,Low,High,Stable,Within 12 Months,All SSP scenarios consistently project Low risk (44 days/year ≥ HX40).
The Hain Celestial Group,Hain Personal Care Hub,Humidex Heat Stress,Low,Medium,Deteriorating,Within 12 Months,"SSP scenarios project 14 days/year ≥ HX40 under the central scenario, ranging from Very Low to Low risk across emissions pathways. Projected increase in heat stress days relative to historical baseline."
The Hain Celestial Group,Hain Celestial Canada HQ,Humidex Heat Stress,Medium,Medium,Deteriorating,Within 12 Months,"SSP scenarios project 47 days/year ≥ HX40 under the central scenario, ranging from Low to Medium risk across emissions pathways. Projected increase in heat stress days relative to historical baseline."
The Hain Celestial Group,Mississauga Facility,Humidex Heat Stress,Medium,Medium,Deteriorating,Within 12 Months,"SSP scenarios project 47 days/year ≥ HX40 under the central scenario, ranging from Low to Medium risk across emissions pathways. Projected increase in heat stress days relative to historical baseline."
The Hain Celestial Group,Hain Daniels (Fakenham),Humidex Heat Stress,Negligible,Medium,Stable,Within 12 Months,Humidex heat stress risk (Negligible) is expected to persist within this 12-month horizon. Seasonal temperature variability applies but no structural change in occupational heat risk anticipated.
The Hain Celestial Group,Hain Daniels (Histon),Humidex Heat Stress,Very Low,High,Stable,Within 12 Months,All SSP scenarios consistently project Very Low risk (2 days/year ≥ HX40).
The Hain Celestial Group,Fresh Innovation Centre,Humidex Heat Stress,Very Low,High,Stable,Within 12 Months,All SSP scenarios consistently project Very Low risk (1 days/year ≥ HX40).
The Hain Celestial Group,Ella’s Kitchen HQ,Humidex Heat Stress,Very Low,High,Stable,Within 12 Months,All SSP scenarios consistently project Very Low risk (1 days/year ≥ HX40).
The Hain Celestial Group,Natumi GmbH,Humidex Heat Stress,Low,Medium,Deteriorating,Within 12 Months,"SSP scenarios project 22 days/year ≥ HX40 under the central scenario, ranging from Very Low to Low risk across emissions pathways. Projected increase in heat stress days relative to historical baseline."
The Hain Celestial Group,Mona Naturprodukte (Joya),Humidex Heat Stress,Low,High,Deteriorating,Within 12 Months,All SSP scenarios consistently project Low risk (27 days/year ≥ HX40). Projected increase in heat stress days relative to historical baseline.
The Hain Celestial Group,Cully & Sully,Humidex Heat Stress,Negligible,Medium,Stable,Within 12 Months,Humidex heat stress risk (Negligible) is expected to persist within this 12-month horizon. Seasonal temperature variability applies but no structural change in occupational heat risk anticipated.
The Hain Celestial Group,Yorkshire Provender,Humidex Heat Stress,Negligible,Medium,Stable,Within 12 Months,Humidex heat stress risk (Negligible) is expected to persist within this 12-month horizon. Seasonal temperature variability applies but no structural change in occupational heat risk anticipated.
ZURU LLC.,ZURU Global HQ,Humidex Heat Stress,Very High,High,Stable,Within 12 Months,All SSP scenarios consistently project Very High risk (183 days/year ≥ HX40).
ZURU LLC.,ZURU US Flagship Campus,Humidex Heat Stress,Very Low,High,Stable,Within 12 Months,All SSP scenarios consistently project Very Low risk (4 days/year ≥ HX40).
ZURU LLC.,ZURU Shenzhen Hub,Humidex Heat Stress,Very High,High,Stable,Within 12 Months,All SSP scenarios consistently project Very High risk (191 days/year ≥ HX40).
ZURU LLC.,ZURU Huizhou Smart Factory,Humidex Heat Stress,Very High,High,Stable,Within 12 Months,All SSP scenarios consistently project Very High risk (199 days/year ≥ HX40).
ZURU LLC.,ZURU Guangzhou Plant,Humidex Heat Stress,Very High,High,Stable,Within 12 Months,All SSP scenarios consistently project Very High risk (195 days/year ≥ HX40).
ZURU LLC.,ZURU New Zealand HQ,Humidex Heat Stress,Negligible,Medium,Stable,Within 12 Months,Humidex heat stress risk (Negligible) is expected to persist within this 12-month horizon. Seasonal temperature variability applies but no structural change in occupational heat risk anticipated.
ZURU LLC.,ZURU Tech Italy (Modena),Humidex Heat Stress,Medium,High,Deteriorating,Within 12 Months,All SSP scenarios consistently project Medium risk (72 days/year ≥ HX40). Projected increase in heat stress days relative to historical baseline.
ZURU LLC.,ZURU Tech India (Ahmedabad),Humidex Heat Stress,Very High,High,Stable,Within 12 Months,All SSP scenarios consistently project Very High risk (243 days/year ≥ HX40).
ZURU LLC.,ZURU Tech India (Kolkata),Humidex Heat Stress,Critical,High,Stable,Within 12 Months,All SSP scenarios consistently project Critical risk (254 days/year ≥ HX40).
ZURU LLC.,ZURU Bentonville Office,Humidex Heat Stress,High,High,Stable,Within 12 Months,All SSP scenarios consistently project High risk (120 days/year ≥ HX40).
ZURU LLC.,ZURU Tech Italy (Milan),Humidex Heat Stress,Medium,High,Deteriorating,Within 12 Months,All SSP scenarios consistently project Medium risk (72 days/year ≥ HX40). Projected increase in heat stress days relative to historical baseline.
ZURU LLC.,ZURU Dongguan Tech Center,Humidex Heat Stress,Very High,High,Stable,Within 12 Months,All SSP scenarios consistently project Very High risk (195 days/year ≥ HX40).
John Paul Mitchell Systems,Global Headquarters,Humidex Heat Stress,Very Low,High,Stable,Within 12 Months,All SSP scenarios consistently project Very Low risk (2 days/year ≥ HX40).
John Paul Mitchell Systems,JPMS Creative Center,Humidex Heat Stress,Very Low,High,Stable,Within 12 Months,All SSP scenarios consistently project Very Low risk (6 days/year ≥ HX40).
John Paul Mitchell Systems,Santa Clarita DC,Humidex Heat Stress,Very Low,High,Stable,Within 12 Months,All SSP scenarios consistently project Very Low risk (2 days/year ≥ HX40).
John Paul Mitchell Systems,The Awapuhi Farm,Humidex Heat Stress,Negligible,High,Stable,Within 12 Months,Humidex heat stress risk (Negligible) is expected to persist within this 12-month horizon. Seasonal temperature variability applies but no structural change in occupational heat risk anticipated.
John Paul Mitchell Systems,JPMS UK (Salon Success),Humidex Heat Stress,Very Low,High,Stable,Within 12 Months,All SSP scenarios consistently project Very Low risk (2 days/year ≥ HX40).
John Paul Mitchell Systems,JPMS European Hub,Humidex Heat Stress,Very Low,High,Stable,Within 12 Months,All SSP scenarios consistently project Very Low risk (5 days/year ≥ HX40).
John Paul Mitchell Systems,Pro-motive (Subsidiary),Humidex Heat Stress,Very Low,High,Stable,Within 12 Months,All SSP scenarios consistently project Very Low risk (2 days/year ≥ HX40).
John Paul Mitchell Systems,Distribution Center East,Humidex Heat Stress,High,High,Stable,Within 12 Months,All SSP scenarios consistently project High risk (115 days/year ≥ HX40).
"Natural Organics, Inc.",Global Headquarters,Humidex Heat Stress,Medium,High,Stable,Within 12 Months,All SSP scenarios consistently project Medium risk (83 days/year ≥ HX40).
"Natural Organics, Inc.",Melville Manufacturing,Humidex Heat Stress,Medium,High,Stable,Within 12 Months,All SSP scenarios consistently project Medium risk (83 days/year ≥ HX40).
"Natural Organics, Inc.","The ""Pharma-Lab""",Humidex Heat Stress,Medium,High,Stable,Within 12 Months,All SSP scenarios consistently project Medium risk (83 days/year ≥ HX40).
"Natural Organics, Inc.",Melville Distribution,Humidex Heat Stress,Medium,High,Stable,Within 12 Months,All SSP scenarios consistently project Medium risk (83 days/year ≥ HX40).
"Natural Organics, Inc.",Amityville Facility,Humidex Heat Stress,Medium,High,Stable,Within 12 Months,All SSP scenarios consistently project Medium risk (80 days/year ≥ HX40).
"Natural Organics, Inc.",Nature’s Plus UK,Humidex Heat Stress,Very Low,High,Stable,Within 12 Months,All SSP scenarios consistently project Very Low risk (2 days/year ≥ HX40).
"Natural Organics, Inc.",Euro-Nutrition Hub,Humidex Heat Stress,Very Low,High,Stable,Within 12 Months,All SSP scenarios consistently project Very Low risk (1 days/year ≥ HX40).
