supplier_name,facility_name,risk_type,risk_level,risk_confidence,risk_trend,timeframe,context,probabilty_fire_weather_conditions,fire_ignition_probability
Techtronic Industries,Milwaukee Tool Greenwood Plant,Wildfire,Very Low,High,Stable,Within 12 Months,Historical fire weather data indicates very low wildfire risk. No SSP scenario projects a material change in fire weather conditions at this location within 12 months. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.040400; P(FWI > 20) projected = 0.029730; P(FWI > 50) historical mean (1975-2000) = 0.009211; P(FWI > 50) projected = 0.000000; fire ignition probability = 0.000000.,3.0%,0.0%
Techtronic Industries,Milwaukee Tool Olive Branch DC,Wildfire,Very Low,High,Stable,Within 12 Months,Historical fire weather data indicates very low wildfire risk. No SSP scenario projects a material change in fire weather conditions at this location within 12 months. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.007206; P(FWI > 20) projected = 0.051040; P(FWI > 50) historical mean (1975-2000) = 0.000097; P(FWI > 50) projected = 0.000230; fire ignition probability = 0.000000.,5.1%,0.0%
Techtronic Industries,Milwaukee Tool Clinton Plant,Wildfire,Very Low,High,Stable,Within 12 Months,Historical fire weather data indicates very low wildfire risk. No SSP scenario projects a material change in fire weather conditions at this location within 12 months. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.048822; P(FWI > 20) projected = 0.010220; P(FWI > 50) historical mean (1975-2000) = 0.023839; P(FWI > 50) projected = 0.000000; fire ignition probability = 0.000000.,1.0%,0.0%
Techtronic Industries,Milwaukee Tool West Bend,Wildfire,Very Low,High,Stable,Within 12 Months,Historical fire weather data indicates very low wildfire risk. No SSP scenario projects a material change in fire weather conditions at this location within 12 months. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.001279; P(FWI > 20) projected = 0.000060; P(FWI > 50) historical mean (1975-2000) = 0.000002; P(FWI > 50) projected = 0.000000; fire ignition probability = 0.000000.,0.0%,0.0%
Techtronic Industries,Empire Level (Subsidiary),Wildfire,Very Low,High,Stable,Within 12 Months,Historical fire weather data indicates very low wildfire risk. No SSP scenario projects a material change in fire weather conditions at this location within 12 months. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.002994; P(FWI > 20) projected = 0.000000; P(FWI > 50) historical mean (1975-2000) = 0.000055; P(FWI > 50) projected = 0.000000; fire ignition probability = 0.000000.,0.0%,0.0%
Techtronic Industries,Milwaukee Tool Torreon,Wildfire,Very Low,High,Stable,Within 12 Months,Historical fire weather data indicates very low wildfire risk. No SSP scenario projects a material change in fire weather conditions at this location within 12 months. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 1.000000; P(FWI > 20) projected = 1.000000; P(FWI > 50) historical mean (1975-2000) = 0.331835; P(FWI > 50) projected = 0.903450; fire ignition probability = 0.000000.,100.0%,0.0%
Techtronic Industries,TTI Floor Care N.A.,Wildfire,Very Low,High,Stable,Within 12 Months,Historical fire weather data indicates very low wildfire risk. No SSP scenario projects a material change in fire weather conditions at this location within 12 months. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.000000; P(FWI > 20) projected = 0.000000; P(FWI > 50) historical mean (1975-2000) = 0.000000; P(FWI > 50) projected = 0.000000; fire ignition probability = 0.000000.,0.0%,0.0%
Techtronic Industries,TTI Dongguan Hub,Wildfire,Very Low,High,Stable,Within 12 Months,Historical fire weather data indicates very low wildfire risk. No SSP scenario projects a material change in fire weather conditions at this location within 12 months. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.020540; P(FWI > 20) projected = 0.000000; P(FWI > 50) historical mean (1975-2000) = 0.000411; P(FWI > 50) projected = 0.000000; fire ignition probability = 0.000000.,0.0%,0.0%
Techtronic Industries,TTI Vietnam (SHTP),Wildfire,Very Low,High,Stable,Within 12 Months,Historical fire weather data indicates very low wildfire risk. No SSP scenario projects a material change in fire weather conditions at this location within 12 months. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.629029; P(FWI > 20) projected = 0.662160; P(FWI > 50) historical mean (1975-2000) = 0.000290; P(FWI > 50) projected = 0.000000; fire ignition probability = 0.000000.,66.2%,0.0%
Techtronic Industries,DreBo Werkzeugfabrik,Wildfire,Very Low,High,Stable,Within 12 Months,Historical fire weather data indicates very low wildfire risk. No SSP scenario projects a material change in fire weather conditions at this location within 12 months. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.004208; P(FWI > 20) projected = 0.006350; P(FWI > 50) historical mean (1975-2000) = 0.001809; P(FWI > 50) projected = 0.000030; fire ignition probability = 0.000000.,0.6%,0.0%
Techtronic Industries,Ryobi Die Casting (USA),Wildfire,Very Low,High,Stable,Within 12 Months,Historical fire weather data indicates very low wildfire risk. No SSP scenario projects a material change in fire weather conditions at this location within 12 months. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.001540; P(FWI > 20) projected = 0.000290; P(FWI > 50) historical mean (1975-2000) = 0.000038; P(FWI > 50) projected = 0.000000; fire ignition probability = 0.000000.,0.0%,0.0%
S.C. Johnson & Son Inc.,Global Corporate HQ,Wildfire,Very Low,High,Stable,Within 12 Months,Historical fire weather data indicates very low wildfire risk. No SSP scenario projects a material change in fire weather conditions at this location within 12 months. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.001080; P(FWI > 20) projected = 0.000130; P(FWI > 50) historical mean (1975-2000) = 0.000001; P(FWI > 50) projected = 0.000000; fire ignition probability = 0.000000.,0.0%,0.0%
S.C. Johnson & Son Inc.,Waxdale Facility,Wildfire,Very Low,High,Stable,Within 12 Months,Historical fire weather data indicates very low wildfire risk. No SSP scenario projects a material change in fire weather conditions at this location within 12 months. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.001080; P(FWI > 20) projected = 0.000130; P(FWI > 50) historical mean (1975-2000) = 0.000001; P(FWI > 50) projected = 0.000000; fire ignition probability = 0.000000.,0.0%,0.0%
S.C. Johnson & Son Inc.,Ziploc Bay City Plant,Wildfire,Very Low,High,Stable,Within 12 Months,Historical fire weather data indicates very low wildfire risk. No SSP scenario projects a material change in fire weather conditions at this location within 12 months. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.000578; P(FWI > 20) projected = 0.025020; P(FWI > 50) historical mean (1975-2000) = 0.000001; P(FWI > 50) projected = 0.000150; fire ignition probability = 0.000000.,2.5%,0.0%
S.C. Johnson & Son Inc.,North America HQ,Wildfire,Very Low,High,Stable,Within 12 Months,Historical fire weather data indicates very low wildfire risk. No SSP scenario projects a material change in fire weather conditions at this location within 12 months. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.002511; P(FWI > 20) projected = 0.000000; P(FWI > 50) historical mean (1975-2000) = 0.000180; P(FWI > 50) projected = 0.000000; fire ignition probability = 0.000000.,0.0%,0.0%
S.C. Johnson & Son Inc.,Method Soapbox,Wildfire,Very Low,High,Stable,Within 12 Months,Historical fire weather data indicates very low wildfire risk. No SSP scenario projects a material change in fire weather conditions at this location within 12 months. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.000878; P(FWI > 20) projected = 0.000090; P(FWI > 50) historical mean (1975-2000) = 0.000007; P(FWI > 50) projected = 0.000000; fire ignition probability = 0.000000.,0.0%,0.0%
S.C. Johnson & Son Inc.,SC Johnson Professional HQ,Wildfire,Very Low,High,Stable,Within 12 Months,Historical fire weather data indicates very low wildfire risk. No SSP scenario projects a material change in fire weather conditions at this location within 12 months. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.000000; P(FWI > 20) projected = 0.000000; P(FWI > 50) historical mean (1975-2000) = 0.000000; P(FWI > 50) projected = 0.000000; fire ignition probability = 0.000000.,0.0%,0.0%
S.C. Johnson & Son Inc.,Stanley Plant (SCJP),Wildfire,Very Low,High,Stable,Within 12 Months,Historical fire weather data indicates very low wildfire risk. No SSP scenario projects a material change in fire weather conditions at this location within 12 months. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.000000; P(FWI > 20) projected = 0.000000; P(FWI > 50) historical mean (1975-2000) = 0.000000; P(FWI > 50) projected = 0.000000; fire ignition probability = 0.000000.,0.0%,0.0%
S.C. Johnson & Son Inc.,SCJ Europlant,Wildfire,Very Low,High,Stable,Within 12 Months,Historical fire weather data indicates very low wildfire risk. No SSP scenario projects a material change in fire weather conditions at this location within 12 months. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.008382; P(FWI > 20) projected = 0.000000; P(FWI > 50) historical mean (1975-2000) = 0.003211; P(FWI > 50) projected = 0.000000; fire ignition probability = 0.000000.,0.0%,0.0%
S.C. Johnson & Son Inc.,European Headquarters (Rolle),Wildfire,Very Low,High,Stable,Within 12 Months,Historical fire weather data indicates very low wildfire risk. No SSP scenario projects a material change in fire weather conditions at this location within 12 months. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.000226; P(FWI > 20) projected = 0.015790; P(FWI > 50) historical mean (1975-2000) = 0.000001; P(FWI > 50) projected = 0.000040; fire ignition probability = 0.000000.,1.6%,0.0%
S.C. Johnson & Son Inc.,Gorzów Manufacturing,Wildfire,Very Low,High,Stable,Within 12 Months,Historical fire weather data indicates very low wildfire risk. No SSP scenario projects a material change in fire weather conditions at this location within 12 months. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.007798; P(FWI > 20) projected = 0.000170; P(FWI > 50) historical mean (1975-2000) = 0.000185; P(FWI > 50) projected = 0.000000; fire ignition probability = 0.000000.,0.0%,0.0%
S.C. Johnson & Son Inc.,Rosslyn Factory,Wildfire,Very High,High,Improving,Within 12 Months,All SSP scenarios consistently project Very High wildfire risk. Projected reduction in wildfire risk relative to historical baseline. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.999854; P(FWI > 20) projected = 1.000000; P(FWI > 50) historical mean (1975-2000) = 0.026984; P(FWI > 50) projected = 0.061670; fire ignition probability = 1.000000.,100.0%,100.0%
S.C. Johnson & Son Inc.,Shanghai Johnson Ltd,Wildfire,Very Low,High,Stable,Within 12 Months,Historical fire weather data indicates very low wildfire risk. No SSP scenario projects a material change in fire weather conditions at this location within 12 months. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.007315; P(FWI > 20) projected = 0.000000; P(FWI > 50) historical mean (1975-2000) = 0.001013; P(FWI > 50) projected = 0.000000; fire ignition probability = 0.000000.,0.0%,0.0%
S.C. Johnson & Son Inc.,SC Johnson Vietnam,Wildfire,Very Low,Medium,Improving,Within 12 Months,Historical fire weather data indicates very low wildfire risk. Projected fire weather conditions suggest marginal improvement within this horizon. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.672727; P(FWI > 20) projected = 0.721290; P(FWI > 50) historical mean (1975-2000) = 0.000137; P(FWI > 50) projected = 0.000000; fire ignition probability = 0.071429.,72.1%,7.1%
S.C. Johnson & Son Inc.,LATAM Regional HQ,Wildfire,Very Low,High,Stable,Within 12 Months,Historical fire weather data indicates very low wildfire risk. No SSP scenario projects a material change in fire weather conditions at this location within 12 months. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.066973; P(FWI > 20) projected = 0.084540; P(FWI > 50) historical mean (1975-2000) = 0.020628; P(FWI > 50) projected = 0.000930; fire ignition probability = 0.000000.,8.5%,0.0%
S.C. Johnson & Son Inc.,Pilar Manufacturing,Wildfire,Very Low,High,Stable,Within 12 Months,Historical fire weather data indicates very low wildfire risk. No SSP scenario projects a material change in fire weather conditions at this location within 12 months. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.024660; P(FWI > 20) projected = 0.186180; P(FWI > 50) historical mean (1975-2000) = 0.002378; P(FWI > 50) projected = 0.013890; fire ignition probability = 0.000000.,18.6%,0.0%
S.C. Johnson & Son Inc.,Toluca Plant,Wildfire,Very Low,High,Stable,Within 12 Months,Historical fire weather data indicates very low wildfire risk. No SSP scenario projects a material change in fire weather conditions at this location within 12 months. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.041625; P(FWI > 20) projected = 0.085010; P(FWI > 50) historical mean (1975-2000) = 0.001491; P(FWI > 50) projected = 0.000000; fire ignition probability = 0.000000.,8.5%,0.0%
GOJO Industries Inc.,Global Headquarters,Wildfire,Very Low,High,Stable,Within 12 Months,Historical fire weather data indicates very low wildfire risk. No SSP scenario projects a material change in fire weather conditions at this location within 12 months. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.001016; P(FWI > 20) projected = 0.000170; P(FWI > 50) historical mean (1975-2000) = 0.000010; P(FWI > 50) projected = 0.000000; fire ignition probability = 0.000000.,0.0%,0.0%
GOJO Industries Inc.,Lippman Campus (Stow),Wildfire,Very Low,High,Stable,Within 12 Months,Historical fire weather data indicates very low wildfire risk. No SSP scenario projects a material change in fire weather conditions at this location within 12 months. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.031544; P(FWI > 20) projected = 0.000020; P(FWI > 50) historical mean (1975-2000) = 0.015664; P(FWI > 50) projected = 0.000000; fire ignition probability = 0.000000.,0.0%,0.0%
GOJO Industries Inc.,Cuyahoga Falls Plant,Wildfire,Very Low,High,Stable,Within 12 Months,Historical fire weather data indicates very low wildfire risk. No SSP scenario projects a material change in fire weather conditions at this location within 12 months. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.001016; P(FWI > 20) projected = 0.000170; P(FWI > 50) historical mean (1975-2000) = 0.000010; P(FWI > 50) projected = 0.000000; fire ignition probability = 0.000000.,0.0%,0.0%
GOJO Industries Inc.,Wooster Facility,Wildfire,Very Low,High,Stable,Within 12 Months,Historical fire weather data indicates very low wildfire risk. No SSP scenario projects a material change in fire weather conditions at this location within 12 months. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.012435; P(FWI > 20) projected = 0.017650; P(FWI > 50) historical mean (1975-2000) = 0.005768; P(FWI > 50) projected = 0.000040; fire ignition probability = 0.000000.,1.8%,0.0%
GOJO Industries Inc.,Maple Heights Plant,Wildfire,Very Low,High,Stable,Within 12 Months,Historical fire weather data indicates very low wildfire risk. No SSP scenario projects a material change in fire weather conditions at this location within 12 months. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.004294; P(FWI > 20) projected = 0.001710; P(FWI > 50) historical mean (1975-2000) = 0.000548; P(FWI > 50) projected = 0.000000; fire ignition probability = 0.000000.,0.2%,0.0%
GOJO Industries Inc.,Ashland Dist. Center,Wildfire,Very Low,High,Stable,Within 12 Months,Historical fire weather data indicates very low wildfire risk. No SSP scenario projects a material change in fire weather conditions at this location within 12 months. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.011112; P(FWI > 20) projected = 0.014570; P(FWI > 50) historical mean (1975-2000) = 0.002646; P(FWI > 50) projected = 0.000050; fire ignition probability = 0.000000.,1.5%,0.0%
GOJO Industries Inc.,Navarre Warehouse,Wildfire,Very Low,High,Stable,Within 12 Months,Historical fire weather data indicates very low wildfire risk. No SSP scenario projects a material change in fire weather conditions at this location within 12 months. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.000781; P(FWI > 20) projected = 0.000100; P(FWI > 50) historical mean (1975-2000) = 0.000005; P(FWI > 50) projected = 0.000000; fire ignition probability = 0.000000.,0.0%,0.0%
GOJO Industries Inc.,GOJO Europe (UK HQ),Wildfire,Very Low,High,Stable,Within 12 Months,Historical fire weather data indicates very low wildfire risk. No SSP scenario projects a material change in fire weather conditions at this location within 12 months. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.005290; P(FWI > 20) projected = 0.000000; P(FWI > 50) historical mean (1975-2000) = 0.000156; P(FWI > 50) projected = 0.000000; fire ignition probability = 0.000000.,0.0%,0.0%
GOJO Industries Inc.,GOJO France SARL,Wildfire,Very Low,High,Stable,Within 12 Months,Historical fire weather data indicates very low wildfire risk. No SSP scenario projects a material change in fire weather conditions at this location within 12 months. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.029450; P(FWI > 20) projected = 0.000150; P(FWI > 50) historical mean (1975-2000) = 0.010494; P(FWI > 50) projected = 0.000000; fire ignition probability = 0.000000.,0.0%,0.0%
GOJO Industries Inc.,GOJO Australasia,Wildfire,Very Low,High,Stable,Within 12 Months,Historical fire weather data indicates very low wildfire risk. No SSP scenario projects a material change in fire weather conditions at this location within 12 months. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.081741; P(FWI > 20) projected = 0.033380; P(FWI > 50) historical mean (1975-2000) = 0.017679; P(FWI > 50) projected = 0.000000; fire ignition probability = 0.000000.,3.3%,0.0%
GOJO Industries Inc.,GOJO Japan Inc.,Wildfire,Very Low,High,Stable,Within 12 Months,Historical fire weather data indicates very low wildfire risk. No SSP scenario projects a material change in fire weather conditions at this location within 12 months. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.000001; P(FWI > 20) projected = 0.000000; P(FWI > 50) historical mean (1975-2000) = 0.000000; P(FWI > 50) projected = 0.000000; fire ignition probability = 0.000000.,0.0%,0.0%
GOJO Industries Inc.,GOJO América Latina,Wildfire,Very Low,High,Stable,Within 12 Months,Historical fire weather data indicates very low wildfire risk. No SSP scenario projects a material change in fire weather conditions at this location within 12 months. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.009154; P(FWI > 20) projected = 0.001870; P(FWI > 50) historical mean (1975-2000) = 0.000273; P(FWI > 50) projected = 0.000000; fire ignition probability = 0.000000.,0.2%,0.0%
GOJO Industries Inc.,GOJO Canada Inc.,Wildfire,Very Low,High,Stable,Within 12 Months,Historical fire weather data indicates very low wildfire risk. No SSP scenario projects a material change in fire weather conditions at this location within 12 months. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.000244; P(FWI > 20) projected = 0.000030; P(FWI > 50) historical mean (1975-2000) = 0.000001; P(FWI > 50) projected = 0.000000; fire ignition probability = 0.000000.,0.0%,0.0%
Hangzhou Greatstar Industrial.Co.,Global Headquarters,Wildfire,Very Low,High,Stable,Within 12 Months,Historical fire weather data indicates very low wildfire risk. No SSP scenario projects a material change in fire weather conditions at this location within 12 months. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.000832; P(FWI > 20) projected = 0.000000; P(FWI > 50) historical mean (1975-2000) = 0.000006; P(FWI > 50) projected = 0.000000; fire ignition probability = 0.000000.,0.0%,0.0%
Hangzhou Greatstar Industrial.Co.,GreatStar Industrial USA,Wildfire,Very Low,High,Stable,Within 12 Months,Historical fire weather data indicates very low wildfire risk. No SSP scenario projects a material change in fire weather conditions at this location within 12 months. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.000000; P(FWI > 20) projected = 0.000000; P(FWI > 50) historical mean (1975-2000) = 0.000000; P(FWI > 50) projected = 0.000000; fire ignition probability = 0.000000.,0.0%,0.0%
Hangzhou Greatstar Industrial.Co.,Arrow Fastener Co. HQ,Wildfire,Very Low,High,Stable,Within 12 Months,Historical fire weather data indicates very low wildfire risk. No SSP scenario projects a material change in fire weather conditions at this location within 12 months. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.002005; P(FWI > 20) projected = 0.000000; P(FWI > 50) historical mean (1975-2000) = 0.000171; P(FWI > 50) projected = 0.000000; fire ignition probability = 0.000000.,0.0%,0.0%
Hangzhou Greatstar Industrial.Co.,Shop-Vac / SK Tools USA,Wildfire,Very Low,High,Stable,Within 12 Months,Historical fire weather data indicates very low wildfire risk. No SSP scenario projects a material change in fire weather conditions at this location within 12 months. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.000472; P(FWI > 20) projected = 0.000000; P(FWI > 50) historical mean (1975-2000) = 0.000021; P(FWI > 50) projected = 0.000000; fire ignition probability = 0.000000.,0.0%,0.0%
Hangzhou Greatstar Industrial.Co.,Prime-Line Products,Wildfire,Very Low,High,Stable,Within 12 Months,Historical fire weather data indicates very low wildfire risk. No SSP scenario projects a material change in fire weather conditions at this location within 12 months. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.999984; P(FWI > 20) projected = 1.000000; P(FWI > 50) historical mean (1975-2000) = 0.000000; P(FWI > 50) projected = 0.000000; fire ignition probability = 0.000000.,100.0%,0.0%
Hangzhou Greatstar Industrial.Co.,LISTA AG (Switzerland),Wildfire,Very Low,High,Stable,Within 12 Months,Historical fire weather data indicates very low wildfire risk. No SSP scenario projects a material change in fire weather conditions at this location within 12 months. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.001597; P(FWI > 20) projected = 0.008170; P(FWI > 50) historical mean (1975-2000) = 0.000082; P(FWI > 50) projected = 0.000090; fire ignition probability = 0.000000.,0.8%,0.0%
